#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.411001E-01   0.650568E+07   0.646320E+07  -0.471683E+02  -0.783895E+02   0.166091E+07   0.647895E+07   0.649939E+07   0.647895E+07  -0.163341E+00   0.351832E+07   0.351782E+07   0.409485E+01
   0.439355E-01   0.611087E+07   0.607068E+07  -0.346952E+02  -0.644545E+02   0.145917E+07   0.608530E+07   0.610493E+07   0.608530E+07  -0.153417E+00   0.330466E+07   0.330419E+07   0.355472E+01
   0.467835E-01   0.576701E+07   0.572977E+07  -0.297569E+02  -0.536628E+02   0.129063E+07   0.574261E+07   0.576150E+07   0.574261E+07  -0.144777E+00   0.311865E+07   0.311822E+07   0.305465E+01
   0.496188E-01   0.547066E+07   0.543680E+07  -0.338486E+02  -0.452667E+02   0.115034E+07   0.544742E+07   0.546565E+07   0.544742E+07  -0.137335E+00   0.295842E+07   0.295803E+07   0.260419E+01
   0.524669E-01   0.521214E+07   0.518190E+07  -0.295727E+02  -0.385834E+02   0.103159E+07   0.519003E+07   0.520767E+07   0.519003E+07  -0.130846E+00   0.281870E+07   0.281835E+07   0.220330E+01
   0.553022E-01   0.498662E+07   0.495998E+07  -0.183970E+02  -0.332349E+02   0.930991E+06   0.496557E+07   0.498268E+07   0.496557E+07  -0.125187E+00   0.269685E+07   0.269654E+07   0.185787E+01
   0.581502E-01   0.478515E+07   0.476193E+07  -0.210256E+02  -0.288521E+02   0.844015E+06   0.476508E+07   0.478172E+07   0.476508E+07  -0.120133E+00   0.258801E+07   0.258774E+07   0.156535E+01
   0.609983E-01   0.460237E+07   0.458221E+07  -0.154790E+02  -0.252254E+02   0.768211E+06   0.458320E+07   0.459939E+07   0.458320E+07  -0.115547E+00   0.248928E+07   0.248903E+07   0.132600E+01
   0.638336E-01   0.443340E+07   0.441582E+07  -0.200199E+02  -0.221935E+02   0.701555E+06   0.441505E+07   0.443080E+07   0.441505E+07  -0.111308E+00   0.239799E+07   0.239777E+07   0.113739E+01
   0.666816E-01   0.427208E+07   0.425654E+07   0.379750E+02  -0.196020E+02   0.641695E+06   0.425445E+07   0.426978E+07   0.425445E+07  -0.107259E+00   0.231080E+07   0.231060E+07   0.993173E+00
   0.695170E-01   0.411664E+07   0.410255E+07   0.336670E+02  -0.173825E+02   0.587892E+06   0.409965E+07   0.411455E+07   0.409965E+07  -0.103357E+00   0.222675E+07   0.222657E+07   0.888920E+00
   0.723650E-01   0.396301E+07   0.394982E+07   0.299073E+02  -0.154449E+02   0.538658E+06   0.394660E+07   0.396106E+07   0.394660E+07  -0.994980E-01   0.214365E+07   0.214347E+07   0.817129E+00
   0.752130E-01   0.381055E+07   0.379773E+07   0.266175E+02  -0.137491E+02   0.493573E+06   0.379465E+07   0.380865E+07   0.379465E+07  -0.956671E-01   0.206114E+07   0.206097E+07   0.771439E+00
   0.780484E-01   0.366019E+07   0.364732E+07   0.237407E+02  -0.122658E+02   0.452425E+06   0.364475E+07   0.365829E+07   0.364475E+07  -0.918879E-01   0.197975E+07   0.197957E+07   0.745136E+00
   0.808964E-01   0.351047E+07   0.349720E+07   0.211919E+02  -0.109512E+02   0.414458E+06   0.349544E+07   0.350851E+07   0.349544E+07  -0.881237E-01   0.189867E+07   0.189849E+07   0.731473E+00
