#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.603337E+00   0.222970E+06   0.221895E+06   0.241543E-01  -0.125347E-01   0.103974E+04   0.221874E+06   0.222811E+06   0.221874E+06  -0.559369E-02   0.120550E+06   0.120537E+06   0.724714E-02
   0.606995E+00   0.220876E+06   0.219810E+06   0.236399E-01  -0.122677E-01   0.101854E+04   0.219790E+06   0.220718E+06   0.219790E+06  -0.554114E-02   0.119417E+06   0.119404E+06   0.713698E-02
   0.610641E+00   0.218817E+06   0.217761E+06   0.231407E-01  -0.120087E-01   0.997961E+03   0.217742E+06   0.218661E+06   0.217742E+06  -0.548949E-02   0.118304E+06   0.118291E+06   0.702994E-02
   0.614286E+00   0.216788E+06   0.215741E+06   0.226548E-01  -0.117566E-01   0.977896E+03   0.215722E+06   0.216633E+06   0.215722E+06  -0.543858E-02   0.117207E+06   0.117194E+06   0.692542E-02
   0.617944E+00   0.214779E+06   0.213743E+06   0.221799E-01  -0.115102E-01   0.958267E+03   0.213723E+06   0.214626E+06   0.213723E+06  -0.538819E-02   0.116121E+06   0.116108E+06   0.682282E-02
   0.621590E+00   0.212806E+06   0.211779E+06   0.217191E-01  -0.112711E-01   0.939195E+03   0.211760E+06   0.212654E+06   0.211760E+06  -0.533869E-02   0.115054E+06   0.115042E+06   0.672266E-02
   0.625248E+00   0.210854E+06   0.209836E+06   0.212688E-01  -0.110374E-01   0.920536E+03   0.209817E+06   0.210704E+06   0.209817E+06  -0.528972E-02   0.113999E+06   0.113987E+06   0.662403E-02
   0.628893E+00   0.208938E+06   0.207929E+06   0.208319E-01  -0.108107E-01   0.902408E+03   0.207911E+06   0.208789E+06   0.207911E+06  -0.524164E-02   0.112963E+06   0.112951E+06   0.652750E-02
   0.632539E+00   0.207051E+06   0.206050E+06   0.204064E-01  -0.105899E-01   0.884738E+03   0.206032E+06   0.206903E+06   0.206032E+06  -0.519429E-02   0.111942E+06   0.111930E+06   0.643262E-02
   0.636197E+00   0.205185E+06   0.204194E+06   0.199907E-01  -0.103742E-01   0.867453E+03   0.204176E+06   0.205038E+06   0.204176E+06  -0.514749E-02   0.110934E+06   0.110922E+06   0.633901E-02
   0.639843E+00   0.203354E+06   0.202371E+06   0.195871E-01  -0.101648E-01   0.850655E+03   0.202353E+06   0.203208E+06   0.202353E+06  -0.510154E-02   0.109944E+06   0.109932E+06   0.624728E-02
   0.643501E+00   0.201542E+06   0.200569E+06   0.191925E-01  -0.996002E-02   0.834214E+03   0.200551E+06   0.201398E+06   0.200551E+06  -0.505610E-02   0.108964E+06   0.108952E+06   0.615680E-02
   0.647146E+00   0.199763E+06   0.198798E+06   0.188094E-01  -0.976120E-02   0.818231E+03   0.198781E+06   0.199620E+06   0.198781E+06  -0.501147E-02   0.108002E+06   0.107991E+06   0.606823E-02
   0.650792E+00   0.198010E+06   0.197054E+06   0.184360E-01  -0.956745E-02   0.802640E+03   0.197036E+06   0.197869E+06   0.197036E+06  -0.496749E-02   0.107055E+06   0.107043E+06   0.598129E-02
   0.654450E+00   0.196276E+06   0.195328E+06   0.180708E-01  -0.937796E-02   0.787375E+03   0.195311E+06   0.196136E+06   0.195311E+06  -0.492399E-02   0.106117E+06   0.106106E+06   0.589575E-02
   0.658095E+00   0.194572E+06   0.193633E+06   0.177160E-01  -0.919385E-02   0.772528E+03   0.193615E+06   0.194433E+06   0.193615E+06  -0.488124E-02   0.105196E+06   0.105184E+06   0.581221E-02
   0.661753E+00   0.192885E+06   0.191954E+06   0.173688E-01  -0.901366E-02   0.757982E+03   0.191936E+06   0.192747E+06   0.191936E+06  -0.483892E-02   0.104284E+06   0.104273E+06   0.573010E-02
   0.665399E+00   0.191226E+06   0.190303E+06   0.170312E-01  -0.883849E-02   0.743826E+03   0.190285E+06   0.191090E+06   0.190285E+06  -0.479730E-02   0.103387E+06   0.103376E+06   0.564999E-02
   0.669044E+00   0.189589E+06   0.188674E+06   0.167019E-01  -0.866759E-02   0.730001E+03   0.188656E+06   0.189453E+06   0.188656E+06  -0.475622E-02   0.102502E+06   0.102490E+06   0.557157E-02
   0.672702E+00   0.187967E+06   0.187060E+06   0.163794E-01  -0.850027E-02   0.716452E+03   0.187043E+06   0.187833E+06   0.187043E+06  -0.471555E-02   0.101625E+06   0.101614E+06   0.549454E-02
   0.676348E+00   0.186373E+06   0.185474E+06   0.160659E-01  -0.833757E-02   0.703264E+03   0.185456E+06   0.186240E+06   0.185456E+06  -0.467555E-02   0.100763E+06   0.100752E+06   0.541938E-02
   0.680006E+00   0.184794E+06   0.183902E+06   0.157588E-01  -0.817823E-02   0.690337E+03   0.183885E+06   0.184662E+06   0.183885E+06  -0.463594E-02   0.999094E+05   0.998985E+05   0.534549E-02
   0.683651E+00   0.183241E+06   0.182356E+06   0.154601E-01  -0.802323E-02   0.677749E+03   0.182339E+06   0.183110E+06   0.182339E+06  -0.459696E-02   0.990694E+05   0.990586E+05   0.527330E-02
   0.687297E+00   0.181707E+06   0.180830E+06   0.151685E-01  -0.787191E-02   0.665446E+03   0.180813E+06   0.181577E+06   0.180813E+06  -0.455849E-02   0.982403E+05   0.982295E+05   0.520248E-02
   0.690955E+00   0.180188E+06   0.179318E+06   0.148829E-01  -0.772368E-02   0.653384E+03   0.179302E+06   0.180059E+06   0.179302E+06  -0.452038E-02   0.974191E+05   0.974085E+05   0.513272E-02
   0.694600E+00   0.178695E+06   0.177832E+06   0.146050E-01  -0.757949E-02   0.641640E+03   0.177816E+06   0.178567E+06   0.177816E+06  -0.448292E-02   0.966118E+05   0.966012E+05   0.506445E-02
   0.698259E+00   0.177216E+06   0.176361E+06   0.143328E-01  -0.743823E-02   0.630126E+03   0.176344E+06   0.177090E+06   0.176344E+06  -0.444583E-02   0.958124E+05   0.958020E+05   0.499714E-02
   0.701904E+00   0.175762E+06   0.174914E+06   0.140679E-01  -0.730078E-02   0.618910E+03   0.174898E+06   0.175637E+06   0.174898E+06  -0.440935E-02   0.950263E+05   0.950159E+05   0.493120E-02
   0.705550E+00   0.174327E+06   0.173485E+06   0.138092E-01  -0.716653E-02   0.607945E+03   0.173469E+06   0.174203E+06   0.173469E+06  -0.437335E-02   0.942503E+05   0.942400E+05   0.486638E-02
   0.709208E+00   0.172906E+06   0.172071E+06   0.135557E-01  -0.703496E-02   0.597188E+03   0.172055E+06   0.172782E+06   0.172055E+06  -0.433768E-02   0.934818E+05   0.934715E+05   0.480242E-02
   0.712853E+00   0.171508E+06   0.170680E+06   0.133089E-01  -0.690690E-02   0.586711E+03   0.170664E+06   0.171385E+06   0.170664E+06  -0.430261E-02   0.927259E+05   0.927158E+05   0.473977E-02
   0.716511E+00   0.170123E+06   0.169302E+06   0.130670E-01  -0.678138E-02   0.576432E+03   0.169286E+06   0.170002E+06   0.169286E+06  -0.426788E-02   0.919775E+05   0.919675E+05   0.467799E-02
   0.720157E+00   0.168762E+06   0.167947E+06   0.128315E-01  -0.665918E-02   0.566416E+03   0.167931E+06   0.168641E+06   0.167931E+06  -0.423372E-02   0.912413E+05   0.912314E+05   0.461750E-02
   0.723802E+00   0.167417E+06   0.166609E+06   0.126014E-01  -0.653975E-02   0.556619E+03   0.166593E+06   0.167298E+06   0.166593E+06  -0.419999E-02   0.905144E+05   0.905045E+05   0.455807E-02
   0.727460E+00   0.166084E+06   0.165283E+06   0.123757E-01  -0.642261E-02   0.547002E+03   0.165267E+06   0.165966E+06   0.165267E+06  -0.416656E-02   0.897939E+05   0.897840E+05   0.449950E-02
   0.731106E+00   0.164773E+06   0.163977E+06   0.121558E-01  -0.630851E-02   0.537625E+03   0.163962E+06   0.164655E+06   0.163962E+06  -0.413365E-02   0.890847E+05   0.890750E+05   0.444219E-02
   0.734764E+00   0.163473E+06   0.162684E+06   0.119401E-01  -0.619659E-02   0.528420E+03   0.162669E+06   0.163356E+06   0.162669E+06  -0.410105E-02   0.883821E+05   0.883724E+05   0.438572E-02
   0.738409E+00   0.162194E+06   0.161411E+06   0.117300E-01  -0.608756E-02   0.519446E+03   0.161396E+06   0.162078E+06   0.161396E+06  -0.406896E-02   0.876906E+05   0.876810E+05   0.433048E-02
   0.742055E+00   0.160931E+06   0.160154E+06   0.115246E-01  -0.598094E-02   0.510664E+03   0.160139E+06   0.160816E+06   0.160139E+06  -0.403726E-02   0.870075E+05   0.869980E+05   0.427623E-02
   0.745713E+00   0.159678E+06   0.158907E+06   0.113229E-01  -0.587631E-02   0.502037E+03   0.158892E+06   0.159564E+06   0.158892E+06  -0.400584E-02   0.863302E+05   0.863207E+05   0.422277E-02
   0.749358E+00   0.158444E+06   0.157680E+06   0.111264E-01  -0.577432E-02   0.493620E+03   0.157664E+06   0.158331E+06   0.157664E+06  -0.397489E-02   0.856632E+05   0.856538E+05   0.417043E-02
   0.753017E+00   0.157221E+06   0.156462E+06   0.109335E-01  -0.567422E-02   0.485354E+03   0.156447E+06   0.157109E+06   0.156447E+06  -0.394421E-02   0.850020E+05   0.849927E+05   0.411882E-02
   0.756662E+00   0.156018E+06   0.155264E+06   0.107455E-01  -0.557665E-02   0.477291E+03   0.155250E+06   0.155906E+06   0.155250E+06  -0.391401E-02   0.843512E+05   0.843419E+05   0.406828E-02
   0.760307E+00   0.154828E+06   0.154081E+06   0.105616E-01  -0.548121E-02   0.469398E+03   0.154066E+06   0.154718E+06   0.154066E+06  -0.388417E-02   0.837083E+05   0.836991E+05   0.401860E-02
   0.763966E+00   0.153650E+06   0.152908E+06   0.103810E-01  -0.538751E-02   0.461641E+03   0.152893E+06   0.153540E+06   0.152893E+06  -0.385460E-02   0.830708E+05   0.830618E+05   0.396957E-02
   0.767611E+00   0.152488E+06   0.151752E+06   0.102049E-01  -0.529614E-02   0.454072E+03   0.151738E+06   0.152379E+06   0.151738E+06  -0.382547E-02   0.824431E+05   0.824341E+05   0.392150E-02
   0.771269E+00   0.151337E+06   0.150606E+06   0.100320E-01  -0.520641E-02   0.446633E+03   0.150592E+06   0.151229E+06   0.150592E+06  -0.379658E-02   0.818206E+05   0.818116E+05   0.387405E-02
   0.774915E+00   0.150203E+06   0.149478E+06   0.986342E-02  -0.511891E-02   0.439374E+03   0.149464E+06   0.150096E+06   0.149464E+06  -0.376814E-02   0.812077E+05   0.811988E+05   0.382754E-02
   0.778560E+00   0.149083E+06   0.148364E+06   0.969841E-02  -0.503328E-02   0.432264E+03   0.148349E+06   0.148977E+06   0.148349E+06  -0.374005E-02   0.806022E+05   0.805934E+05   0.378177E-02
   0.782218E+00   0.147973E+06   0.147259E+06   0.953635E-02  -0.494917E-02   0.425277E+03   0.147245E+06   0.147867E+06   0.147245E+06  -0.371219E-02   0.800019E+05   0.799931E+05   0.373659E-02
   0.785864E+00   0.146879E+06   0.146170E+06   0.937824E-02  -0.486713E-02   0.418455E+03   0.146156E+06   0.146774E+06   0.146156E+06  -0.368475E-02   0.794106E+05   0.794019E+05   0.369228E-02
   0.789522E+00   0.145794E+06   0.145091E+06   0.922290E-02  -0.478651E-02   0.411747E+03   0.145077E+06   0.145690E+06   0.145077E+06  -0.365754E-02   0.788240E+05   0.788154E+05   0.364854E-02
   0.793167E+00   0.144726E+06   0.144027E+06   0.907133E-02  -0.470785E-02   0.405197E+03   0.144013E+06   0.144622E+06   0.144013E+06  -0.363072E-02   0.782462E+05   0.782376E+05   0.360566E-02
   0.796813E+00   0.143669E+06   0.142976E+06   0.892291E-02  -0.463083E-02   0.398779E+03   0.142962E+06   0.143567E+06   0.142962E+06  -0.360422E-02   0.776751E+05   0.776666E+05   0.356347E-02
   0.800471E+00   0.142622E+06   0.141933E+06   0.877707E-02  -0.455515E-02   0.392469E+03   0.141920E+06   0.142520E+06   0.141920E+06  -0.357794E-02   0.771087E+05   0.771003E+05   0.352183E-02
   0.804116E+00   0.141590E+06   0.140906E+06   0.863473E-02  -0.448128E-02   0.386305E+03   0.140893E+06   0.141489E+06   0.140893E+06  -0.355205E-02   0.765508E+05   0.765424E+05   0.348101E-02
   0.888848E+00   0.120556E+06   0.119974E+06   0.601704E-02  -0.312281E-02   0.272121E+03   0.119962E+06   0.120470E+06   0.119962E+06  -0.302436E-02   0.651785E+05   0.651713E+05   0.269169E-02
   0.103078E+01   0.948342E+05   0.943765E+05   0.351948E-02  -0.182663E-02   0.161386E+03   0.943668E+05   0.947665E+05   0.943668E+05  -0.237909E-02   0.512721E+05   0.512665E+05   0.183942E-02
   0.119538E+01   0.744188E+05   0.740596E+05   0.205358E-02  -0.106584E-02   0.952588E+02   0.740519E+05   0.743657E+05   0.740519E+05  -0.186693E-02   0.402345E+05   0.402300E+05   0.125711E-02
   0.138626E+01   0.582673E+05   0.579860E+05   0.119556E-02  -0.620527E-03   0.559892E+02   0.579800E+05   0.582257E+05   0.579800E+05  -0.146174E-02   0.315022E+05   0.314986E+05   0.860169E-03
   0.160763E+01   0.455249E+05   0.453051E+05   0.694569E-03  -0.360504E-03   0.327819E+02   0.453004E+05   0.454924E+05   0.453004E+05  -0.114207E-02   0.246130E+05   0.246102E+05   0.589869E-03
   0.186434E+01   0.354989E+05   0.353274E+05   0.402714E-03  -0.209025E-03   0.191278E+02   0.353237E+05   0.354735E+05   0.353237E+05  -0.890549E-03   0.191924E+05   0.191902E+05   0.406047E-03
   0.216205E+01   0.276297E+05   0.274961E+05   0.233062E-03  -0.120971E-03   0.111261E+02   0.274933E+05   0.276099E+05   0.274933E+05  -0.693136E-03   0.149380E+05   0.149361E+05   0.281031E-03
