#           k/h    P           
   0.254678E-01   0.220819E+05
   0.259823E-01   0.218679E+05
   0.265072E-01   0.216442E+05
   0.270426E-01   0.214109E+05
   0.275889E-01   0.211686E+05
   0.281463E-01   0.209177E+05
   0.287149E-01   0.206586E+05
   0.292949E-01   0.203918E+05
   0.298867E-01   0.201180E+05
   0.304905E-01   0.198378E+05
   0.311064E-01   0.195517E+05
   0.317348E-01   0.192605E+05
   0.323759E-01   0.189649E+05
   0.330299E-01   0.186657E+05
   0.336972E-01   0.183635E+05
   0.343779E-01   0.180593E+05
   0.350724E-01   0.177538E+05
   0.357809E-01   0.174478E+05
   0.365038E-01   0.171422E+05
   0.372412E-01   0.168378E+05
   0.379935E-01   0.165355E+05
   0.387610E-01   0.162361E+05
   0.395440E-01   0.159403E+05
   0.403429E-01   0.156490E+05
   0.411579E-01   0.153629E+05
   0.419893E-01   0.150827E+05
   0.428375E-01   0.148090E+05
   0.437029E-01   0.145424E+05
   0.445858E-01   0.142835E+05
   0.454865E-01   0.140327E+05
   0.464053E-01   0.137903E+05
   0.473428E-01   0.135566E+05
   0.482992E-01   0.133318E+05
   0.492749E-01   0.131159E+05
   0.502703E-01   0.129089E+05
   0.512858E-01   0.127105E+05
   0.523219E-01   0.125204E+05
   0.533789E-01   0.123383E+05
   0.544572E-01   0.121635E+05
   0.555573E-01   0.119953E+05
   0.566796E-01   0.118329E+05
   0.578246E-01   0.116753E+05
   0.589927E-01   0.115214E+05
   0.601845E-01   0.113700E+05
   0.614003E-01   0.112198E+05
   0.626407E-01   0.110695E+05
   0.639061E-01   0.109175E+05
   0.651971E-01   0.107623E+05
   0.665142E-01   0.106028E+05
   0.678578E-01   0.104379E+05
   0.692287E-01   0.102661E+05
   0.706272E-01   0.100860E+05
   0.720539E-01   0.989661E+04
   0.735095E-01   0.969698E+04
   0.749945E-01   0.948739E+04
   0.765095E-01   0.926847E+04
   0.780551E-01   0.904003E+04
   0.796319E-01   0.880194E+04
   0.812406E-01   0.855514E+04
   0.828817E-01   0.830106E+04
   0.845561E-01   0.804159E+04
   0.862642E-01   0.777909E+04
   0.880068E-01   0.751627E+04
   0.897847E-01   0.725588E+04
   0.915985E-01   0.700043E+04
   0.934489E-01   0.675209E+04
   0.953367E-01   0.651281E+04
   0.972626E-01   0.628435E+04
   0.992274E-01   0.606861E+04
   0.101232E+00   0.586736E+04
   0.103277E+00   0.568200E+04
   0.105363E+00   0.551339E+04
   0.107492E+00   0.536133E+04
   0.109663E+00   0.522505E+04
   0.111879E+00   0.510314E+04
   0.114139E+00   0.499386E+04
   0.116445E+00   0.489519E+04
   0.118797E+00   0.480448E+04
   0.121197E+00   0.471865E+04
   0.123645E+00   0.463430E+04
   0.126143E+00   0.454819E+04
   0.128691E+00   0.445746E+04
   0.131291E+00   0.435969E+04
   0.133943E+00   0.425286E+04
   0.136649E+00   0.413564E+04
   0.139409E+00   0.400776E+04
   0.142226E+00   0.387038E+04
   0.145099E+00   0.372574E+04
   0.148030E+00   0.357670E+04
   0.151020E+00   0.342651E+04
   0.154071E+00   0.327864E+04
   0.157184E+00   0.313676E+04
   0.160359E+00   0.300418E+04
   0.163598E+00   0.288340E+04
   0.166903E+00   0.277586E+04
   0.170275E+00   0.268202E+04
   0.173715E+00   0.260131E+04
   0.177224E+00   0.253208E+04
   0.180804E+00   0.247154E+04
   0.184457E+00   0.241612E+04
