#    L    TT             EE             TE             PP             TP          
   168   0.478902E+04   0.928802E+00  -0.417290E+02   0.341138E+07   0.325913E+04
   169   0.481582E+04   0.917688E+00  -0.412766E+02   0.339321E+07   0.323172E+04
   170   0.484230E+04   0.906511E+00  -0.407978E+02   0.337519E+07   0.320460E+04
   171   0.486831E+04   0.895271E+00  -0.402904E+02   0.335731E+07   0.317778E+04
   172   0.489393E+04   0.883896E+00  -0.397558E+02   0.333957E+07   0.315124E+04
   173   0.491907E+04   0.872385E+00  -0.391939E+02   0.332196E+07   0.312499E+04
   174   0.494388E+04   0.861039E+00  -0.386049E+02   0.330449E+07   0.309901E+04
   175   0.496830E+04   0.849559E+00  -0.379880E+02   0.328716E+07   0.307330E+04
   176   0.499216E+04   0.838171E+00  -0.373431E+02   0.326996E+07   0.304786E+04
   177   0.501562E+04   0.826800E+00  -0.366717E+02   0.325290E+07   0.302268E+04
   178   0.503860E+04   0.815672E+00  -0.359725E+02   0.323597E+07   0.299775E+04
   179   0.506111E+04   0.804491E+00  -0.352454E+02   0.321917E+07   0.297308E+04
   180   0.508330E+04   0.793481E+00  -0.344920E+02   0.320250E+07   0.294865E+04
   181   0.510494E+04   0.782642E+00  -0.337123E+02   0.318596E+07   0.292448E+04
   182   0.512610E+04   0.772052E+00  -0.329048E+02   0.316955E+07   0.290054E+04
   183   0.514672E+04   0.761636E+00  -0.320711E+02   0.315327E+07   0.287684E+04
   184   0.516694E+04   0.751470E+00  -0.312105E+02   0.313711E+07   0.285337E+04
   185   0.518670E+04   0.741705E+00  -0.303252E+02   0.312108E+07   0.283013E+04
   186   0.520561E+04   0.732200E+00  -0.294123E+02   0.310517E+07   0.280712E+04
   187   0.522435E+04   0.723098E+00  -0.284733E+02   0.308938E+07   0.278433E+04
   188   0.524255E+04   0.714385E+00  -0.275097E+02   0.307372E+07   0.276175E+04
   189   0.526013E+04   0.706100E+00  -0.265201E+02   0.305817E+07   0.273939E+04
   190   0.527755E+04   0.698297E+00  -0.255067E+02   0.304275E+07   0.271724E+04
   191   0.529405E+04   0.690998E+00  -0.244666E+02   0.302744E+07   0.269530E+04
   192   0.531017E+04   0.684228E+00  -0.234021E+02   0.301225E+07   0.267356E+04
   193   0.532567E+04   0.678032E+00  -0.223146E+02   0.299718E+07   0.265202E+04
   194   0.534079E+04   0.672441E+00  -0.212021E+02   0.298222E+07   0.263067E+04
   195   0.535529E+04   0.667495E+00  -0.200667E+02   0.296737E+07   0.260951E+04
   196   0.536918E+04   0.663230E+00  -0.189077E+02   0.295263E+07   0.258854E+04
   197   0.538262E+04   0.659694E+00  -0.177267E+02   0.293801E+07   0.256775E+04
   198   0.539552E+04   0.656910E+00  -0.165230E+02   0.292350E+07   0.254714E+04
   199   0.540788E+04   0.654916E+00  -0.152973E+02   0.290909E+07   0.252670E+04
   200   0.541972E+04   0.653743E+00  -0.140503E+02   0.289480E+07   0.250644E+04
   201   0.543095E+04   0.653452E+00  -0.127815E+02   0.288061E+07   0.248635E+04
   202   0.544165E+04   0.654050E+00  -0.114923E+02   0.286652E+07   0.246642E+04
   203   0.545174E+04   0.655596E+00  -0.101820E+02   0.285254E+07   0.244665E+04
   204   0.546115E+04   0.658111E+00  -0.885352E+01   0.283867E+07   0.242705E+04
   205   0.547004E+04   0.661640E+00  -0.750474E+01   0.282490E+07   0.240761E+04
   206   0.547825E+04   0.666219E+00  -0.613692E+01   0.281123E+07   0.238832E+04
   207   0.548592E+04   0.671870E+00  -0.475053E+01   0.279766E+07   0.236920E+04
   208   0.549285E+04   0.678644E+00  -0.334611E+01   0.278419E+07   0.235023E+04
   209   0.549917E+04   0.686563E+00  -0.192406E+01   0.277083E+07   0.233142E+04
   210   0.550490E+04   0.695679E+00  -0.485288E+00   0.275756E+07   0.231276E+04
   211   0.551002E+04   0.706020E+00   0.970120E+00   0.274439E+07   0.229425E+04
   212   0.551439E+04   0.717616E+00   0.244121E+01   0.273132E+07   0.227590E+04
   213   0.551823E+04   0.730511E+00   0.392799E+01   0.271834E+07   0.225769E+04
   214   0.552140E+04   0.744696E+00   0.542925E+01   0.270546E+07   0.223963E+04
   215   0.552397E+04   0.760364E+00   0.694421E+01   0.269268E+07   0.222171E+04
   216   0.552586E+04   0.777330E+00   0.847338E+01   0.267999E+07   0.220395E+04
   217   0.552723E+04   0.795748E+00   0.100147E+02   0.266739E+07   0.218632E+04
   218   0.552792E+04   0.815618E+00   0.115684E+02   0.265489E+07   0.216883E+04
   219   0.552802E+04   0.836939E+00   0.131355E+02   0.264247E+07   0.215149E+04
   220   0.552752E+04   0.859859E+00   0.147114E+02   0.263015E+07   0.213428E+04
   221   0.552642E+04   0.884304E+00   0.162983E+02   0.261792E+07   0.211721E+04
   222   0.552472E+04   0.910421E+00   0.178947E+02   0.260578E+07   0.210027E+04
