#    L    TT             EE             TE             PP             TP          
  2736   0.454135E+02   0.121932E+01  -0.107284E+01   0.318803E+05   0.131444E+01
  2737   0.452093E+02   0.122186E+01  -0.104908E+01   0.318469E+05   0.130377E+01
  2738   0.450053E+02   0.122464E+01  -0.102578E+01   0.318136E+05   0.129315E+01
  2739   0.448001E+02   0.122751E+01  -0.100315E+01   0.317803E+05   0.128256E+01
  2740   0.445967E+02   0.123046E+01  -0.980968E+00   0.317470E+05   0.127202E+01
  2741   0.443920E+02   0.123357E+01  -0.959446E+00   0.317138E+05   0.126150E+01
  2742   0.441877E+02   0.123676E+01  -0.938583E+00   0.316806E+05   0.125101E+01
  2743   0.439829E+02   0.124004E+01  -0.918224E+00   0.316474E+05   0.124053E+01
  2744   0.437793E+02   0.124339E+01  -0.898438E+00   0.316143E+05   0.123006E+01
  2745   0.435745E+02   0.124704E+01  -0.879295E+00   0.315812E+05   0.121959E+01
  2746   0.433700E+02   0.125062E+01  -0.860789E+00   0.315481E+05   0.120912E+01
  2747   0.431667E+02   0.125434E+01  -0.842767E+00   0.315151E+05   0.119864E+01
  2748   0.429623E+02   0.125813E+01  -0.825447E+00   0.314821E+05   0.118815E+01
  2749   0.427591E+02   0.126199E+01  -0.808675E+00   0.314492E+05   0.117763E+01
  2750   0.425562E+02   0.126599E+01  -0.792521E+00   0.314163E+05   0.116708E+01
  2751   0.423531E+02   0.127013E+01  -0.777052E+00   0.313834E+05   0.115650E+01
  2752   0.421504E+02   0.127418E+01  -0.762189E+00   0.313506E+05   0.114588E+01
  2753   0.419488E+02   0.127837E+01  -0.747925E+00   0.313178E+05   0.113524E+01
  2754   0.417477E+02   0.128263E+01  -0.734179E+00   0.312850E+05   0.112457E+01
  2755   0.415462E+02   0.128694E+01  -0.721168E+00   0.312523E+05   0.111387E+01
  2756   0.413459E+02   0.129139E+01  -0.708735E+00   0.312196E+05   0.110315E+01
  2757   0.411460E+02   0.129576E+01  -0.696949E+00   0.311870E+05   0.109241E+01
  2758   0.409472E+02   0.130034E+01  -0.685654E+00   0.311543E+05   0.108165E+01
  2759   0.407487E+02   0.130490E+01  -0.675067E+00   0.311218E+05   0.107088E+01
  2760   0.405507E+02   0.130953E+01  -0.665107E+00   0.310892E+05   0.106010E+01
  2761   0.403530E+02   0.131421E+01  -0.655619E+00   0.310567E+05   0.104930E+01
  2762   0.401571E+02   0.131888E+01  -0.646892E+00   0.310242E+05   0.103850E+01
  2763   0.399608E+02   0.132376E+01  -0.638624E+00   0.309918E+05   0.102770E+01
  2764   0.397656E+02   0.132856E+01  -0.631031E+00   0.309594E+05   0.101689E+01
  2765   0.395715E+02   0.133334E+01  -0.624105E+00   0.309270E+05   0.100609E+01
  2766   0.393777E+02   0.133818E+01  -0.617693E+00   0.308947E+05   0.995290E+00
  2767   0.391850E+02   0.134315E+01  -0.611860E+00   0.308624E+05   0.984496E+00
  2768   0.389926E+02   0.134811E+01  -0.606676E+00   0.308302E+05   0.973711E+00
  2769   0.388012E+02   0.135312E+01  -0.601984E+00   0.307979E+05   0.962937E+00
  2770   0.386108E+02   0.135805E+01  -0.598076E+00   0.307657E+05   0.952178E+00
  2771   0.384222E+02   0.136311E+01  -0.594647E+00   0.307336E+05   0.941435E+00
  2772   0.382339E+02   0.136808E+01  -0.591766E+00   0.307015E+05   0.930711E+00
  2773   0.380466E+02   0.137310E+01  -0.589277E+00   0.306694E+05   0.920010E+00
  2774   0.378603E+02   0.137819E+01  -0.587544E+00   0.306374E+05   0.909333E+00
  2775   0.376757E+02   0.138318E+01  -0.586190E+00   0.306053E+05   0.898683E+00
  2776   0.374914E+02   0.138831E+01  -0.585580E+00   0.305734E+05   0.888063E+00
  2777   0.373080E+02   0.139334E+01  -0.585558E+00   0.305414E+05   0.877476E+00
  2778   0.371264E+02   0.139836E+01  -0.585969E+00   0.305095E+05   0.866923E+00
  2779   0.369449E+02   0.140343E+01  -0.586882E+00   0.304777E+05   0.856408E+00
  2780   0.367660E+02   0.140841E+01  -0.588362E+00   0.304458E+05   0.845934E+00
  2781   0.365879E+02   0.141345E+01  -0.590405E+00   0.304140E+05   0.835502E+00
  2782   0.364116E+02   0.141847E+01  -0.592928E+00   0.303823E+05   0.825116E+00
  2783   0.362369E+02   0.142346E+01  -0.596000E+00   0.303505E+05   0.814778E+00
  2784   0.360624E+02   0.142837E+01  -0.599614E+00   0.303188E+05   0.804490E+00
  2785   0.358895E+02   0.143341E+01  -0.603659E+00   0.302872E+05   0.794256E+00
  2786   0.357183E+02   0.143827E+01  -0.608181E+00   0.302556E+05   0.784077E+00
  2787   0.355480E+02   0.144312E+01  -0.613232E+00   0.302240E+05   0.773958E+00
  2788   0.353786E+02   0.144795E+01  -0.618739E+00   0.301924E+05   0.763899E+00
  2789   0.352109E+02   0.145275E+01  -0.624778E+00   0.301609E+05   0.753904E+00
  2790   0.350462E+02   0.145754E+01  -0.631229E+00   0.301294E+05   0.743975E+00
  2791   0.348801E+02   0.146215E+01  -0.638139E+00   0.300980E+05   0.734116E+00
  2792   0.347179E+02   0.146682E+01  -0.645501E+00   0.300666E+05   0.724327E+00
  2793   0.345566E+02   0.147147E+01  -0.653300E+00   0.300352E+05   0.714614E+00
  2794   0.343961E+02   0.147595E+01  -0.661515E+00   0.300038E+05   0.704976E+00
  2795   0.342372E+02   0.148041E+01  -0.670163E+00   0.299725E+05   0.695419E+00
  2796   0.340805E+02   0.148484E+01  -0.679206E+00   0.299412E+05   0.685943E+00
  2797   0.339255E+02   0.148918E+01  -0.688667E+00   0.299100E+05   0.676552E+00
  2798   0.337720E+02   0.149349E+01  -0.698511E+00   0.298788E+05   0.667248E+00
  2799   0.336208E+02   0.149764E+01  -0.708738E+00   0.298476E+05   0.658034E+00
  2800   0.334697E+02   0.150176E+01  -0.719326E+00   0.298165E+05   0.648912E+00
  2801   0.333215E+02   0.150578E+01  -0.730292E+00   0.297854E+05   0.639885E+00
  2802   0.331742E+02   0.150978E+01  -0.741611E+00   0.297543E+05   0.630953E+00
  2803   0.330298E+02   0.151361E+01  -0.753280E+00   0.297233E+05   0.622116E+00
  2804   0.328861E+02   0.151735E+01  -0.765281E+00   0.296923E+05   0.613373E+00
  2805   0.327454E+02   0.152107E+01  -0.777627E+00   0.296613E+05   0.604724E+00
  2806   0.326047E+02   0.152462E+01  -0.790302E+00   0.296304E+05   0.596170E+00
  2807   0.324669E+02   0.152816E+01  -0.803308E+00   0.295994E+05   0.587710E+00
  2808   0.323304E+02   0.153154E+01  -0.816616E+00   0.295686E+05   0.579343E+00
  2809   0.321961E+02   0.153483E+01  -0.830243E+00   0.295377E+05   0.571071E+00
  2810   0.320632E+02   0.153811E+01  -0.844158E+00   0.295069E+05   0.562891E+00
  2811   0.319323E+02   0.154124E+01  -0.858374E+00   0.294762E+05   0.554806E+00
  2812   0.318028E+02   0.154420E+01  -0.872881E+00   0.294454E+05   0.546813E+00
  2813   0.316761E+02   0.154709E+01  -0.887668E+00   0.294147E+05   0.538913E+00
  2814   0.315492E+02   0.154996E+01  -0.902726E+00   0.293841E+05   0.531106E+00
  2815   0.314250E+02   0.155269E+01  -0.918029E+00   0.293534E+05   0.523392E+00
  2816   0.313029E+02   0.155519E+01  -0.933599E+00   0.293229E+05   0.515770E+00
  2817   0.311827E+02   0.155776E+01  -0.949402E+00   0.292923E+05   0.508240E+00
  2818   0.310645E+02   0.156011E+01  -0.965443E+00   0.292618E+05   0.500803E+00
  2819   0.309475E+02   0.156239E+01  -0.981721E+00   0.292313E+05   0.493457E+00
  2820   0.308324E+02   0.156460E+01  -0.998202E+00   0.292008E+05   0.486203E+00
  2821   0.307192E+02   0.156659E+01  -0.101489E+01   0.291704E+05   0.479041E+00
  2822   0.306079E+02   0.156858E+01  -0.103179E+01   0.291400E+05   0.471970E+00
  2823   0.304993E+02   0.157043E+01  -0.104887E+01   0.291096E+05   0.464991E+00
  2824   0.303909E+02   0.157222E+01  -0.106614E+01   0.290793E+05   0.458102E+00
  2825   0.302852E+02   0.157372E+01  -0.108358E+01   0.290490E+05   0.451305E+00
  2826   0.301813E+02   0.157530E+01  -0.110118E+01   0.290187E+05   0.444598E+00
  2827   0.300784E+02   0.157660E+01  -0.111894E+01   0.289885E+05   0.437982E+00
  2828   0.299773E+02   0.157784E+01  -0.113684E+01   0.289583E+05   0.431456E+00
  2829   0.298788E+02   0.157894E+01  -0.115488E+01   0.289281E+05   0.425020E+00
  2830   0.297812E+02   0.157999E+01  -0.117304E+01   0.288980E+05   0.418674E+00
  2831   0.296853E+02   0.158083E+01  -0.119131E+01   0.288679E+05   0.412418E+00
  2832   0.295919E+02   0.158162E+01  -0.120968E+01   0.288378E+05   0.406252E+00
  2833   0.295002E+02   0.158213E+01  -0.122811E+01   0.288078E+05   0.400176E+00
  2834   0.294093E+02   0.158267E+01  -0.124668E+01   0.287778E+05   0.394188E+00
  2835   0.293217E+02   0.158300E+01  -0.126538E+01   0.287478E+05   0.388290E+00
  2836   0.292342E+02   0.158329E+01  -0.128404E+01   0.287178E+05   0.382481E+00
  2837   0.291490E+02   0.158330E+01  -0.130274E+01   0.286879E+05   0.376761E+00
  2838   0.290661E+02   0.158334E+01  -0.132149E+01   0.286581E+05   0.371129E+00
  2839   0.289841E+02   0.158327E+01  -0.134027E+01   0.286282E+05   0.365586E+00
  2840   0.289044E+02   0.158292E+01  -0.135909E+01   0.285984E+05   0.360131E+00
  2841   0.288263E+02   0.158254E+01  -0.137795E+01   0.285686E+05   0.354764E+00
  2842   0.287496E+02   0.158203E+01  -0.139683E+01   0.285389E+05   0.349485E+00
  2843   0.286745E+02   0.158134E+01  -0.141559E+01   0.285092E+05   0.344294E+00
  2844   0.286016E+02   0.158054E+01  -0.143438E+01   0.284795E+05   0.339191E+00
  2845   0.285294E+02   0.157963E+01  -0.145311E+01   0.284499E+05   0.334175E+00
  2846   0.284594E+02   0.157860E+01  -0.147187E+01   0.284203E+05   0.329246E+00
  2847   0.283908E+02   0.157740E+01  -0.149050E+01   0.283907E+05   0.324405E+00
  2848   0.283236E+02   0.157608E+01  -0.150906E+01   0.283611E+05   0.319650E+00
  2849   0.282579E+02   0.157466E+01  -0.152764E+01   0.283316E+05   0.314982E+00
  2850   0.281950E+02   0.157299E+01  -0.154594E+01   0.283021E+05   0.310400E+00
  2851   0.281319E+02   0.157129E+01  -0.156432E+01   0.282727E+05   0.305905E+00
  2852   0.280710E+02   0.156941E+01  -0.158248E+01   0.282433E+05   0.301496E+00
  2853   0.280121E+02   0.156744E+01  -0.160066E+01   0.282139E+05   0.297174E+00
  2854   0.279545E+02   0.156536E+01  -0.161856E+01   0.281845E+05   0.292937E+00
  2855   0.278975E+02   0.156311E+01  -0.163640E+01   0.281552E+05   0.288787E+00
  2856   0.278425E+02   0.156070E+01  -0.165412E+01   0.281259E+05   0.284723E+00
  2857   0.277896E+02   0.155812E+01  -0.167171E+01   0.280966E+05   0.280744E+00
  2858   0.277372E+02   0.155551E+01  -0.168911E+01   0.280674E+05   0.276851E+00
  2859   0.276860E+02   0.155275E+01  -0.170631E+01   0.280382E+05   0.273044E+00
  2860   0.276369E+02   0.154989E+01  -0.172340E+01   0.280090E+05   0.269323E+00
  2861   0.275889E+02   0.154680E+01  -0.174053E+01   0.279799E+05   0.265687E+00
  2862   0.275430E+02   0.154370E+01  -0.175725E+01   0.279508E+05   0.262137E+00
  2863   0.274967E+02   0.154051E+01  -0.177386E+01   0.279217E+05   0.258671E+00
  2864   0.274532E+02   0.153702E+01  -0.179029E+01   0.278927E+05   0.255292E+00
  2865   0.274101E+02   0.153359E+01  -0.180655E+01   0.278637E+05   0.251997E+00
  2866   0.273681E+02   0.152986E+01  -0.182263E+01   0.278347E+05   0.248787E+00
  2867   0.273281E+02   0.152613E+01  -0.183854E+01   0.278058E+05   0.245663E+00
  2868   0.272892E+02   0.152224E+01  -0.185414E+01   0.277768E+05   0.242623E+00
  2869   0.272515E+02   0.151821E+01  -0.186957E+01   0.277480E+05   0.239668E+00
  2870   0.272157E+02   0.151410E+01  -0.188491E+01   0.277191E+05   0.236798E+00
  2871   0.271794E+02   0.150985E+01  -0.189995E+01   0.276903E+05   0.234013E+00
  2872   0.271458E+02   0.150553E+01  -0.191476E+01   0.276615E+05   0.231312E+00
  2873   0.271132E+02   0.150099E+01  -0.192926E+01   0.276327E+05   0.228696E+00
  2874   0.270818E+02   0.149645E+01  -0.194368E+01   0.276040E+05   0.226164E+00
  2875   0.270506E+02   0.149163E+01  -0.195774E+01   0.275753E+05   0.223717E+00
  2876   0.270213E+02   0.148674E+01  -0.197165E+01   0.275466E+05   0.221353E+00
  2877   0.269922E+02   0.148186E+01  -0.198519E+01   0.275180E+05   0.219074E+00
  2878   0.269642E+02   0.147685E+01  -0.199852E+01   0.274894E+05   0.216879E+00
  2879   0.269380E+02   0.147163E+01  -0.201157E+01   0.274608E+05   0.214768E+00
  2880   0.269120E+02   0.146643E+01  -0.202440E+01   0.274323E+05   0.212741E+00
  2881   0.268870E+02   0.146102E+01  -0.203696E+01   0.274038E+05   0.210797E+00
  2882   0.268637E+02   0.145555E+01  -0.204924E+01   0.273753E+05   0.208938E+00
  2883   0.268407E+02   0.145003E+01  -0.206124E+01   0.273469E+05   0.207162E+00
  2884   0.268187E+02   0.144446E+01  -0.207290E+01   0.273184E+05   0.205469E+00
  2885   0.267975E+02   0.143877E+01  -0.208436E+01   0.272900E+05   0.203860E+00
  2886   0.267774E+02   0.143295E+01  -0.209548E+01   0.272617E+05   0.202334E+00
  2887   0.267574E+02   0.142694E+01  -0.210627E+01   0.272334E+05   0.200892E+00
  2888   0.267383E+02   0.142095E+01  -0.211679E+01   0.272051E+05   0.199533E+00
  2889   0.267201E+02   0.141477E+01  -0.212691E+01   0.271768E+05   0.198257E+00
  2890   0.267028E+02   0.140855E+01  -0.213684E+01   0.271486E+05   0.197064E+00
  2891   0.266856E+02   0.140229E+01  -0.214623E+01   0.271204E+05   0.195954E+00
  2892   0.266693E+02   0.139591E+01  -0.215544E+01   0.270922E+05   0.194926E+00
  2893   0.266532E+02   0.138949E+01  -0.216440E+01   0.270640E+05   0.193982E+00
  2894   0.266386E+02   0.138297E+01  -0.217320E+01   0.270359E+05   0.193120E+00
  2895   0.266240E+02   0.137633E+01  -0.218138E+01   0.270078E+05   0.192341E+00
  2896   0.266096E+02   0.136966E+01  -0.218932E+01   0.269798E+05   0.191644E+00
  2897   0.265967E+02   0.136289E+01  -0.219703E+01   0.269518E+05   0.191030E+00
  2898   0.265831E+02   0.135608E+01  -0.220435E+01   0.269238E+05   0.190498E+00
  2899   0.265703E+02   0.134925E+01  -0.221122E+01   0.268958E+05   0.190049E+00
  2900   0.265583E+02   0.134231E+01  -0.221772E+01   0.268679E+05   0.189681E+00
  2901   0.265463E+02   0.133535E+01  -0.222392E+01   0.268400E+05   0.189396E+00
  2902   0.265351E+02   0.132829E+01  -0.222982E+01   0.268121E+05   0.189192E+00
  2903   0.265238E+02   0.132113E+01  -0.223536E+01   0.267843E+05   0.189069E+00
  2904   0.265126E+02   0.131401E+01  -0.224046E+01   0.267564E+05   0.189026E+00
  2905   0.265015E+02   0.130680E+01  -0.224521E+01   0.267287E+05   0.189063E+00
  2906   0.264910E+02   0.129942E+01  -0.224961E+01   0.267009E+05   0.189179E+00
  2907   0.264814E+02   0.129209E+01  -0.225374E+01   0.266732E+05   0.189373E+00
  2908   0.264711E+02   0.128481E+01  -0.225745E+01   0.266455E+05   0.189645E+00
  2909   0.264608E+02   0.127743E+01  -0.226075E+01   0.266178E+05   0.189995E+00
  2910   0.264520E+02   0.126989E+01  -0.226379E+01   0.265902E+05   0.190421E+00
  2911   0.264425E+02   0.126239E+01  -0.226636E+01   0.265626E+05   0.190923E+00
  2912   0.264339E+02   0.125488E+01  -0.226875E+01   0.265350E+05   0.191500E+00
  2913   0.264238E+02   0.124726E+01  -0.227067E+01   0.265075E+05   0.192153E+00
  2914   0.264152E+02   0.123978E+01  -0.227221E+01   0.264800E+05   0.192879E+00
  2915   0.264059E+02   0.123206E+01  -0.227351E+01   0.264525E+05   0.193679E+00
  2916   0.263974E+02   0.122439E+01  -0.227436E+01   0.264250E+05   0.194552E+00
  2917   0.263883E+02   0.121662E+01  -0.227483E+01   0.263976E+05   0.195497E+00
  2918   0.263792E+02   0.120891E+01  -0.227516E+01   0.263702E+05   0.196514E+00
  2919   0.263702E+02   0.120104E+01  -0.227489E+01   0.263428E+05   0.197603E+00
  2920   0.263605E+02   0.119329E+01  -0.227442E+01   0.263155E+05   0.198761E+00
  2921   0.263524E+02   0.118546E+01  -0.227351E+01   0.262882E+05   0.199990E+00
  2922   0.263436E+02   0.117760E+01  -0.227225E+01   0.262609E+05   0.201288E+00
  2923   0.263341E+02   0.116966E+01  -0.227072E+01   0.262336E+05   0.202655E+00
  2924   0.263255E+02   0.116177E+01  -0.226877E+01   0.262064E+05   0.204090E+00
  2925   0.263162E+02   0.115394E+01  -0.226648E+01   0.261792E+05   0.205592E+00
  2926   0.263070E+02   0.114602E+01  -0.226386E+01   0.261520E+05   0.207162E+00
  2927   0.262971E+02   0.113794E+01  -0.226091E+01   0.261249E+05   0.208797E+00
  2928   0.262874E+02   0.112985E+01  -0.225764E+01   0.260978E+05   0.210499E+00
  2929   0.262777E+02   0.112218E+01  -0.225405E+01   0.260707E+05   0.212265E+00
  2930   0.262681E+02   0.111421E+01  -0.225014E+01   0.260437E+05   0.214096E+00
  2931   0.262579E+02   0.110629E+01  -0.224584E+01   0.260167E+05   0.215991E+00
  2932   0.262478E+02   0.109837E+01  -0.224124E+01   0.259897E+05   0.217949E+00
  2933   0.262363E+02   0.109043E+01  -0.223648E+01   0.259627E+05   0.219969E+00
  2934   0.262250E+02   0.108248E+01  -0.223128E+01   0.259358E+05   0.222052E+00
  2935   0.262137E+02   0.107459E+01  -0.222572E+01   0.259089E+05   0.224196E+00
  2936   0.262018E+02   0.106661E+01  -0.221971E+01   0.258820E+05   0.226401E+00
  2937   0.261893E+02   0.105878E+01  -0.221365E+01   0.258551E+05   0.228666E+00
  2938   0.261769E+02   0.105078E+01  -0.220708E+01   0.258283E+05   0.230991E+00
  2939   0.261646E+02   0.104293E+01  -0.220024E+01   0.258015E+05   0.233375E+00
  2940   0.261517E+02   0.103513E+01  -0.219328E+01   0.257748E+05   0.235817E+00
  2941   0.261375E+02   0.102726E+01  -0.218590E+01   0.257480E+05   0.238317E+00
  2942   0.261234E+02   0.101952E+01  -0.217819E+01   0.257213E+05   0.240874E+00
  2943   0.261087E+02   0.101171E+01  -0.217030E+01   0.256947E+05   0.243488E+00
  2944   0.260934E+02   0.100395E+01  -0.216208E+01   0.256680E+05   0.246158E+00
  2945   0.260782E+02   0.996196E+00  -0.215361E+01   0.256414E+05   0.248883E+00
  2946   0.260617E+02   0.988504E+00  -0.214483E+01   0.256148E+05   0.251663E+00
  2947   0.260453E+02   0.980881E+00  -0.213588E+01   0.255883E+05   0.254497E+00
  2948   0.260284E+02   0.973251E+00  -0.212655E+01   0.255617E+05   0.257385E+00
  2949   0.260101E+02   0.965689E+00  -0.211699E+01   0.255352E+05   0.260325E+00
  2950   0.259919E+02   0.958123E+00  -0.210729E+01   0.255087E+05   0.263318E+00
  2951   0.259732E+02   0.950625E+00  -0.209728E+01   0.254823E+05   0.266362E+00
  2952   0.259539E+02   0.943196E+00  -0.208706E+01   0.254559E+05   0.269458E+00
  2953   0.259333E+02   0.935909E+00  -0.207648E+01   0.254295E+05   0.272604E+00
  2954   0.259122E+02   0.928541E+00  -0.206583E+01   0.254031E+05   0.275800E+00
  2955   0.258912E+02   0.921239E+00  -0.205482E+01   0.253768E+05   0.279044E+00
  2956   0.258690E+02   0.914002E+00  -0.204361E+01   0.253505E+05   0.282338E+00
  2957   0.258463E+02   0.906830E+00  -0.203226E+01   0.253242E+05   0.285679E+00
  2958   0.258231E+02   0.899721E+00  -0.202063E+01   0.252979E+05   0.289067E+00
  2959   0.257986E+02   0.892602E+00  -0.200887E+01   0.252717E+05   0.292501E+00
  2960   0.257737E+02   0.885693E+00  -0.199677E+01   0.252455E+05   0.295982E+00
  2961   0.257490E+02   0.878698E+00  -0.198454E+01   0.252193E+05   0.299507E+00
  2962   0.257224E+02   0.871763E+00  -0.197219E+01   0.251932E+05   0.303077E+00
  2963   0.256961E+02   0.865036E+00  -0.195950E+01   0.251671E+05   0.306691E+00
  2964   0.256679E+02   0.858220E+00  -0.194662E+01   0.251410E+05   0.310348E+00
  2965   0.256400E+02   0.851537E+00  -0.193363E+01   0.251149E+05   0.314048E+00
  2966   0.256110E+02   0.844911E+00  -0.192044E+01   0.250889E+05   0.317789E+00
  2967   0.255808E+02   0.838342E+00  -0.190708E+01   0.250629E+05   0.321572E+00
  2968   0.255502E+02   0.831829E+00  -0.189353E+01   0.250369E+05   0.325395E+00
  2969   0.255185E+02   0.825372E+00  -0.187973E+01   0.250110E+05   0.329258E+00
  2970   0.254864E+02   0.818968E+00  -0.186582E+01   0.249851E+05   0.333160E+00
  2971   0.254548E+02   0.812693E+00  -0.185189E+01   0.249592E+05   0.337101E+00
  2972   0.254213E+02   0.806470E+00  -0.183763E+01   0.249333E+05   0.341079E+00
  2973   0.253867E+02   0.800300E+00  -0.182335E+01   0.249075E+05   0.345095E+00
  2974   0.253533E+02   0.794180E+00  -0.180883E+01   0.248816E+05   0.349148E+00
  2975   0.253181E+02   0.788186E+00  -0.179429E+01   0.248559E+05   0.353236E+00
  2976   0.252812E+02   0.782167E+00  -0.177951E+01   0.248301E+05   0.357360E+00
  2977   0.252454E+02   0.776345E+00  -0.176472E+01   0.248044E+05   0.361518E+00
  2978   0.252072E+02   0.770571E+00  -0.174977E+01   0.247787E+05   0.365710E+00
  2979   0.251687E+02   0.764919E+00  -0.173474E+01   0.247530E+05   0.369936E+00
  2980   0.251299E+02   0.759239E+00  -0.171955E+01   0.247274E+05   0.374194E+00
  2981   0.250902E+02   0.753754E+00  -0.170428E+01   0.247017E+05   0.378484E+00
  2982   0.250487E+02   0.748239E+00  -0.168893E+01   0.246761E+05   0.382806E+00
  2983   0.250071E+02   0.742843E+00  -0.167351E+01   0.246506E+05   0.387158E+00
  2984   0.249652E+02   0.737564E+00  -0.165801E+01   0.246250E+05   0.391540E+00
  2985   0.249224E+02   0.732328E+00  -0.164238E+01   0.245995E+05   0.395951E+00
  2986   0.248787E+02   0.727208E+00  -0.162674E+01   0.245740E+05   0.400391E+00
  2987   0.248348E+02   0.722129E+00  -0.161112E+01   0.245486E+05   0.404860E+00
  2988   0.247901E+02   0.717090E+00  -0.159521E+01   0.245231E+05   0.409355E+00
  2989   0.247444E+02   0.712313E+00  -0.157939E+01   0.244977E+05   0.413877E+00
  2990   0.246986E+02   0.707501E+00  -0.156358E+01   0.244724E+05   0.418426E+00
  2991   0.246513E+02   0.702727E+00  -0.154771E+01   0.244470E+05   0.423000E+00
  2992   0.246030E+02   0.698213E+00  -0.153179E+01   0.244217E+05   0.427598E+00
  2993   0.245547E+02   0.693660E+00  -0.151590E+01   0.243964E+05   0.432221E+00
  2994   0.245048E+02   0.689143E+00  -0.150002E+01   0.243711E+05   0.436867E+00
  2995   0.244548E+02   0.684884E+00  -0.148395E+01   0.243459E+05   0.441535E+00
  2996   0.244048E+02   0.680659E+00  -0.146813E+01   0.243207E+05   0.446226E+00
  2997   0.243532E+02   0.676466E+00  -0.145212E+01   0.242955E+05   0.450939E+00
  2998   0.243009E+02   0.672381E+00  -0.143636E+01   0.242703E+05   0.455672E+00
  2999   0.242478E+02   0.668401E+00  -0.142042E+01   0.242452E+05   0.460425E+00
  3000   0.241946E+02   0.664526E+00  -0.140459E+01   0.242200E+05   0.465198E+00
  3001   0.241408E+02   0.660681E+00  -0.138879E+01   0.241950E+05   0.469989E+00
  3002   0.240862E+02   0.657014E+00  -0.137304E+01   0.241699E+05   0.474799E+00
  3003   0.240301E+02   0.653374E+00  -0.135739E+01   0.241449E+05   0.479626E+00
  3004   0.239740E+02   0.649836E+00  -0.134171E+01   0.241199E+05   0.484470E+00
  3005   0.239173E+02   0.646472E+00  -0.132606E+01   0.240949E+05   0.489330E+00
  3006   0.238606E+02   0.643132E+00  -0.131051E+01   0.240699E+05   0.494205E+00
  3007   0.238024E+02   0.639890E+00  -0.129508E+01   0.240450E+05   0.499095E+00
  3008   0.237443E+02   0.636670E+00  -0.127967E+01   0.240201E+05   0.503998E+00
  3009   0.236848E+02   0.633658E+00  -0.126436E+01   0.239952E+05   0.508915E+00
  3010   0.236254E+02   0.630755E+00  -0.124908E+01   0.239704E+05   0.513845E+00
  3011   0.235653E+02   0.627863E+00  -0.123390E+01   0.239456E+05   0.518786E+00
  3012   0.235045E+02   0.625086E+00  -0.121882E+01   0.239208E+05   0.523739E+00
  3013   0.234424E+02   0.622394E+00  -0.120376E+01   0.238960E+05   0.528702E+00
  3014   0.233811E+02   0.619821E+00  -0.118888E+01   0.238712E+05   0.533675E+00
  3015   0.233177E+02   0.617307E+00  -0.117401E+01   0.238465E+05   0.538657E+00
  3016   0.232552E+02   0.614889E+00  -0.115938E+01   0.238218E+05   0.543647E+00
  3017   0.231906E+02   0.612565E+00  -0.114469E+01   0.237972E+05   0.548645E+00
  3018   0.231269E+02   0.610320E+00  -0.113025E+01   0.237725E+05   0.553649E+00
  3019   0.230619E+02   0.608152E+00  -0.111582E+01   0.237479E+05   0.558661E+00
  3020   0.229970E+02   0.606090E+00  -0.110155E+01   0.237233E+05   0.563677E+00
  3021   0.229301E+02   0.604118E+00  -0.108743E+01   0.236988E+05   0.568699E+00
  3022   0.228641E+02   0.602228E+00  -0.107341E+01   0.236742E+05   0.573725E+00
  3023   0.227961E+02   0.600433E+00  -0.105946E+01   0.236497E+05   0.578754E+00
  3024   0.227290E+02   0.598717E+00  -0.104560E+01   0.236252E+05   0.583786E+00
  3025   0.226621E+02   0.597087E+00  -0.103197E+01   0.236008E+05   0.588820E+00
  3026   0.225954E+02   0.595550E+00  -0.101841E+01   0.235763E+05   0.593856E+00
  3027   0.225267E+02   0.594088E+00  -0.100501E+01   0.235519E+05   0.598892E+00
  3028   0.224575E+02   0.592716E+00  -0.991757E+00   0.235275E+05   0.603928E+00
  3029   0.223878E+02   0.591426E+00  -0.978727E+00   0.235032E+05   0.608964E+00
  3030   0.223184E+02   0.590223E+00  -0.965770E+00   0.234788E+05   0.613998E+00
  3031   0.222485E+02   0.589085E+00  -0.953033E+00   0.234545E+05   0.619030E+00
  3032   0.221781E+02   0.588040E+00  -0.940441E+00   0.234303E+05   0.624059E+00
  3033   0.221072E+02   0.587057E+00  -0.927992E+00   0.234060E+05   0.629085E+00
  3034   0.220359E+02   0.586172E+00  -0.915685E+00   0.233818E+05   0.634106E+00
  3035   0.219649E+02   0.585362E+00  -0.903592E+00   0.233576E+05   0.639123E+00
  3036   0.218934E+02   0.584619E+00  -0.891564E+00   0.233334E+05   0.644134E+00
  3037   0.218208E+02   0.583956E+00  -0.879823E+00   0.233092E+05   0.649139E+00
  3038   0.217493E+02   0.583364E+00  -0.868217E+00   0.232851E+05   0.654137E+00
  3039   0.216765E+02   0.582836E+00  -0.856895E+00   0.232610E+05   0.659127E+00
  3040   0.216041E+02   0.582392E+00  -0.845706E+00   0.232369E+05   0.664109E+00
  3041   0.215306E+02   0.582016E+00  -0.834649E+00   0.232129E+05   0.669082E+00
  3042   0.214582E+02   0.581708E+00  -0.823871E+00   0.231888E+05   0.674045E+00
  3043   0.213839E+02   0.581466E+00  -0.813222E+00   0.231648E+05   0.678998E+00
  3044   0.213100E+02   0.581304E+00  -0.802775E+00   0.231408E+05   0.683939E+00
  3045   0.212365E+02   0.581192E+00  -0.792603E+00   0.231169E+05   0.688869E+00
