#    L    TT             EE             BB             TE          
   125   0.335301E-01   0.897092E-04   0.481054E-04  -0.134599E-02
   126   0.318956E-01   0.889843E-04   0.473677E-04  -0.130104E-02
   127   0.303203E-01   0.882328E-04   0.466254E-04  -0.125638E-02
   128   0.288033E-01   0.874555E-04   0.458792E-04  -0.121204E-02
   129   0.273442E-01   0.866531E-04   0.451300E-04  -0.116808E-02
   130   0.259423E-01   0.858262E-04   0.443786E-04  -0.112455E-02
   131   0.245970E-01   0.849755E-04   0.436258E-04  -0.108147E-02
   132   0.233071E-01   0.841019E-04   0.428721E-04  -0.103889E-02
   133   0.220715E-01   0.832064E-04   0.421182E-04  -0.996818E-03
   134   0.208891E-01   0.822901E-04   0.413647E-04  -0.955277E-03
   135   0.197588E-01   0.813538E-04   0.406121E-04  -0.914289E-03
   136   0.186793E-01   0.803987E-04   0.398611E-04  -0.873876E-03
   137   0.176496E-01   0.794255E-04   0.391122E-04  -0.834059E-03
   138   0.166684E-01   0.784355E-04   0.383661E-04  -0.794859E-03
   139   0.157348E-01   0.774294E-04   0.376234E-04  -0.756298E-03
   140   0.148474E-01   0.764084E-04   0.368846E-04  -0.718396E-03
   141   0.140053E-01   0.753733E-04   0.361503E-04  -0.681175E-03
   142   0.132071E-01   0.743252E-04   0.354212E-04  -0.644657E-03
   143   0.124518E-01   0.732651E-04   0.346977E-04  -0.608863E-03
   144   0.117383E-01   0.721939E-04   0.339806E-04  -0.573814E-03
   145   0.110653E-01   0.711127E-04   0.332704E-04  -0.539531E-03
   146   0.104318E-01   0.700224E-04   0.325678E-04  -0.506036E-03
   147   0.983663E-02   0.689239E-04   0.318732E-04  -0.473350E-03
   148   0.927859E-02   0.678183E-04   0.311873E-04  -0.441494E-03
   149   0.875656E-02   0.667066E-04   0.305108E-04  -0.410490E-03
   150   0.826940E-02   0.655897E-04   0.298441E-04  -0.380358E-03
   151   0.781599E-02   0.644687E-04   0.291878E-04  -0.351117E-03
   152   0.739528E-02   0.633442E-04   0.285422E-04  -0.322766E-03
   153   0.700626E-02   0.622172E-04   0.279074E-04  -0.295300E-03
   154   0.664792E-02   0.610885E-04   0.272836E-04  -0.268715E-03
   155   0.631922E-02   0.599589E-04   0.266709E-04  -0.243007E-03
   156   0.601917E-02   0.588291E-04   0.260695E-04  -0.218172E-03
   157   0.574673E-02   0.577000E-04   0.254796E-04  -0.194205E-03
   158   0.550089E-02   0.565724E-04   0.249014E-04  -0.171101E-03
   159   0.528063E-02   0.554471E-04   0.243349E-04  -0.148857E-03
   160   0.508494E-02   0.543249E-04   0.237804E-04  -0.127468E-03
   161   0.491279E-02   0.532067E-04   0.232380E-04  -0.106929E-03
   162   0.476317E-02   0.520932E-04   0.227079E-04  -0.872366E-04
   163   0.463506E-02   0.509853E-04   0.221903E-04  -0.683861E-04
   164   0.452744E-02   0.498837E-04   0.216852E-04  -0.503732E-04
   165   0.443930E-02   0.487893E-04   0.211930E-04  -0.331934E-04
   166   0.436961E-02   0.477029E-04   0.207137E-04  -0.168425E-04
   167   0.431736E-02   0.466253E-04   0.202475E-04  -0.131603E-05
   168   0.428154E-02   0.455572E-04   0.197946E-04   0.133904E-04
   169   0.426111E-02   0.444996E-04   0.193551E-04   0.272810E-04
   170   0.425507E-02   0.434533E-04   0.189292E-04   0.403603E-04
   171   0.426240E-02   0.424189E-04   0.185171E-04   0.526326E-04
   172   0.428208E-02   0.413974E-04   0.181189E-04   0.641023E-04
   173   0.431309E-02   0.403896E-04   0.177348E-04   0.747737E-04
   174   0.435441E-02   0.393963E-04   0.173650E-04   0.846512E-04
   175   0.440503E-02   0.384182E-04   0.170096E-04   0.937391E-04
   176   0.446399E-02   0.374561E-04   0.166686E-04   0.102045E-03
   177   0.453067E-02   0.365105E-04   0.163421E-04   0.109588E-03
   178   0.460448E-02   0.355817E-04   0.160295E-04   0.116392E-03
   179   0.468485E-02   0.346701E-04   0.157307E-04   0.122479E-03
   180   0.477122E-02   0.337760E-04   0.154455E-04   0.127871E-03
   181   0.486300E-02   0.328998E-04   0.151735E-04   0.132592E-03
   182   0.495963E-02   0.320419E-04   0.149145E-04   0.136665E-03
   183   0.506054E-02   0.312026E-04   0.146681E-04   0.140112E-03
   184   0.516516E-02   0.303824E-04   0.144343E-04   0.142955E-03
   185   0.527291E-02   0.295814E-04   0.142126E-04   0.145218E-03
   186   0.538322E-02   0.288002E-04   0.140028E-04   0.146923E-03
   187   0.549552E-02   0.280391E-04   0.138046E-04   0.148094E-03
   188   0.560924E-02   0.272985E-04   0.136178E-04   0.148752E-03
   189   0.572381E-02   0.265786E-04   0.134421E-04   0.148921E-03
   190   0.583866E-02   0.258799E-04   0.132773E-04   0.148623E-03
   191   0.595321E-02   0.252027E-04   0.131230E-04   0.147882E-03
   192   0.606689E-02   0.245475E-04   0.129790E-04   0.146719E-03
   193   0.617914E-02   0.239145E-04   0.128450E-04   0.145158E-03
   194   0.628938E-02   0.233041E-04   0.127209E-04   0.143221E-03
   195   0.639703E-02   0.227167E-04   0.126062E-04   0.140931E-03
   196   0.650153E-02   0.221527E-04   0.125007E-04   0.138311E-03
   197   0.660231E-02   0.216124E-04   0.124042E-04   0.135384E-03
   198   0.669880E-02   0.210961E-04   0.123164E-04   0.132172E-03
   199   0.679041E-02   0.206043E-04   0.122370E-04   0.128699E-03
   200   0.687659E-02   0.201373E-04   0.121657E-04   0.124986E-03
   201   0.695687E-02   0.196953E-04   0.121024E-04   0.121055E-03
   202   0.703123E-02   0.192780E-04   0.120467E-04   0.116917E-03
   203   0.709979E-02   0.188848E-04   0.119984E-04   0.112584E-03
   204   0.716264E-02   0.185153E-04   0.119572E-04   0.108065E-03
   205   0.721988E-02   0.181689E-04   0.119229E-04   0.103371E-03
   206   0.727160E-02   0.178451E-04   0.118952E-04   0.985107E-04
   207   0.731792E-02   0.175435E-04   0.118739E-04   0.934957E-04
   208   0.735892E-02   0.172634E-04   0.118588E-04   0.883358E-04
   209   0.739471E-02   0.170045E-04   0.118495E-04   0.830413E-04
   210   0.742540E-02   0.167662E-04   0.118459E-04   0.776222E-04
   211   0.745107E-02   0.165480E-04   0.118476E-04   0.720889E-04
   212   0.747183E-02   0.163494E-04   0.118545E-04   0.664516E-04
   213   0.748777E-02   0.161698E-04   0.118662E-04   0.607204E-04
   214   0.749901E-02   0.160088E-04   0.118826E-04   0.549055E-04
   215   0.750563E-02   0.158659E-04   0.119033E-04   0.490172E-04
   216   0.750775E-02   0.157406E-04   0.119282E-04   0.430657E-04
   217   0.750545E-02   0.156323E-04   0.119569E-04   0.370612E-04
   218   0.749884E-02   0.155406E-04   0.119893E-04   0.310139E-04
   219   0.748801E-02   0.154649E-04   0.120250E-04   0.249340E-04
   220   0.747308E-02   0.154047E-04   0.120638E-04   0.188317E-04
   221   0.745413E-02   0.153596E-04   0.121056E-04   0.127173E-04
   222   0.743127E-02   0.153289E-04   0.121499E-04   0.660085E-05
   223   0.740460E-02   0.153123E-04   0.121966E-04   0.492676E-06
   224   0.737421E-02   0.153092E-04   0.122454E-04  -0.559705E-05
   225   0.734021E-02   0.153191E-04   0.122961E-04  -0.116581E-04
   226   0.730270E-02   0.153415E-04   0.123484E-04  -0.176803E-04
   227   0.726178E-02   0.153759E-04   0.124020E-04  -0.236534E-04
   228   0.721754E-02   0.154217E-04   0.124568E-04  -0.295672E-04
   229   0.717009E-02   0.154785E-04   0.125124E-04  -0.354115E-04
   230   0.711953E-02   0.155458E-04   0.125687E-04  -0.411761E-04
   231   0.706595E-02   0.156230E-04   0.126252E-04  -0.468508E-04
   232   0.700946E-02   0.157097E-04   0.126819E-04  -0.524254E-04
   233   0.695016E-02   0.158054E-04   0.127385E-04  -0.578896E-04
   234   0.688814E-02   0.159094E-04   0.127947E-04  -0.632333E-04
   235   0.682351E-02   0.160214E-04   0.128502E-04  -0.684462E-04
   236   0.675637E-02   0.161408E-04   0.129048E-04  -0.735181E-04
   237   0.668681E-02   0.162672E-04   0.129582E-04  -0.784389E-04
   238   0.661494E-02   0.163999E-04   0.130103E-04  -0.831983E-04
   239   0.654085E-02   0.165386E-04   0.130607E-04  -0.877861E-04
   240   0.646465E-02   0.166826E-04   0.131092E-04  -0.921921E-04
