#    L    TT             EE             BB             TE          
   183   0.514673E+04   0.761667E+00   0.146681E-04  -0.320710E+02
   184   0.516695E+04   0.751500E+00   0.144343E-04  -0.312104E+02
   185   0.518670E+04   0.741734E+00   0.142126E-04  -0.303251E+02
   186   0.520562E+04   0.732228E+00   0.140028E-04  -0.294121E+02
   187   0.522436E+04   0.723126E+00   0.138046E-04  -0.284731E+02
   188   0.524256E+04   0.714412E+00   0.136178E-04  -0.275095E+02
   189   0.526014E+04   0.706127E+00   0.134421E-04  -0.265199E+02
   190   0.527756E+04   0.698323E+00   0.132773E-04  -0.255065E+02
   191   0.529406E+04   0.691023E+00   0.131230E-04  -0.244665E+02
   192   0.531018E+04   0.684252E+00   0.129790E-04  -0.234019E+02
   193   0.532568E+04   0.678056E+00   0.128450E-04  -0.223145E+02
   194   0.534079E+04   0.672465E+00   0.127209E-04  -0.212020E+02
   195   0.535530E+04   0.667517E+00   0.126062E-04  -0.200666E+02
   196   0.536919E+04   0.663252E+00   0.125007E-04  -0.189076E+02
   197   0.538262E+04   0.659716E+00   0.124042E-04  -0.177266E+02
   198   0.539552E+04   0.656931E+00   0.123164E-04  -0.165228E+02
   199   0.540789E+04   0.654936E+00   0.122370E-04  -0.152971E+02
   200   0.541973E+04   0.653763E+00   0.121657E-04  -0.140502E+02
   201   0.543096E+04   0.653472E+00   0.121024E-04  -0.127814E+02
   202   0.544165E+04   0.654069E+00   0.120467E-04  -0.114922E+02
   203   0.545175E+04   0.655615E+00   0.119984E-04  -0.101819E+02
   204   0.546116E+04   0.658130E+00   0.119572E-04  -0.885341E+01
   205   0.547005E+04   0.661658E+00   0.119229E-04  -0.750463E+01
   206   0.547825E+04   0.666237E+00   0.118952E-04  -0.613682E+01
   207   0.548593E+04   0.671888E+00   0.118739E-04  -0.475044E+01
   208   0.549286E+04   0.678662E+00   0.118588E-04  -0.334602E+01
   209   0.549918E+04   0.686580E+00   0.118495E-04  -0.192398E+01
   210   0.550490E+04   0.695696E+00   0.118459E-04  -0.485210E+00
   211   0.551002E+04   0.706037E+00   0.118476E-04   0.970192E+00
   212   0.551439E+04   0.717632E+00   0.118545E-04   0.244127E+01
   213   0.551824E+04   0.730527E+00   0.118662E-04   0.392805E+01
   214   0.552140E+04   0.744712E+00   0.118826E-04   0.542930E+01
   215   0.552397E+04   0.760380E+00   0.119033E-04   0.694426E+01
   216   0.552587E+04   0.777346E+00   0.119282E-04   0.847342E+01
   217   0.552724E+04   0.795763E+00   0.119569E-04   0.100148E+02
   218   0.552793E+04   0.815633E+00   0.119893E-04   0.115685E+02
   219   0.552803E+04   0.836954E+00   0.120250E-04   0.131355E+02
   220   0.552753E+04   0.859874E+00   0.120638E-04   0.147114E+02
   221   0.552643E+04   0.884319E+00   0.121056E-04   0.162983E+02
   222   0.552473E+04   0.910437E+00   0.121499E-04   0.178947E+02
   223   0.552229E+04   0.938151E+00   0.121966E-04   0.195014E+02
   224   0.551940E+04   0.967463E+00   0.122454E-04   0.211146E+02
   225   0.551584E+04   0.998520E+00   0.122961E-04   0.227373E+02
   226   0.551168E+04   0.103132E+01   0.123484E-04   0.243657E+02
   227   0.550686E+04   0.106587E+01   0.124020E-04   0.260013E+02
   228   0.550151E+04   0.110216E+01   0.124568E-04   0.276426E+02
   229   0.549557E+04   0.114026E+01   0.125124E-04   0.292881E+02
   230   0.548896E+04   0.118018E+01   0.125687E-04   0.309384E+02
   231   0.548168E+04   0.122200E+01   0.126252E-04   0.325929E+02
   232   0.547388E+04   0.126562E+01   0.126819E-04   0.342500E+02
   233   0.546549E+04   0.131129E+01   0.127385E-04   0.359082E+02
   234   0.545636E+04   0.135884E+01   0.127947E-04   0.375682E+02
   235   0.544670E+04   0.140836E+01   0.128502E-04   0.392286E+02
   236   0.543639E+04   0.145984E+01   0.129048E-04   0.408892E+02
   237   0.542548E+04   0.151335E+01   0.129582E-04   0.425487E+02
   238   0.541398E+04   0.156897E+01   0.130103E-04   0.442069E+02
   239   0.540196E+04   0.162655E+01   0.130607E-04   0.458631E+02
   240   0.538921E+04   0.168617E+01   0.131092E-04   0.475151E+02
   241   0.537601E+04   0.174796E+01   0.131556E-04   0.491635E+02
   242   0.536222E+04   0.181179E+01   0.131996E-04   0.508076E+02
   243   0.534785E+04   0.187780E+01   0.132409E-04   0.524459E+02
   244   0.533288E+04   0.194592E+01   0.132793E-04   0.540792E+02
   245   0.531733E+04   0.201622E+01   0.133145E-04   0.557043E+02
   246   0.530126E+04   0.208869E+01   0.133463E-04   0.573229E+02
   247   0.528468E+04   0.216327E+01   0.133745E-04   0.589325E+02
   248   0.526752E+04   0.224032E+01   0.133988E-04   0.605333E+02
   249   0.524991E+04   0.231933E+01   0.134189E-04   0.621244E+02
   250   0.523172E+04   0.240073E+01   0.134346E-04   0.637044E+02
   251   0.521309E+04   0.248424E+01   0.134457E-04   0.652739E+02
   252   0.519380E+04   0.257007E+01   0.134522E-04   0.668314E+02
   253   0.517422E+04   0.265799E+01   0.134543E-04   0.683756E+02
   254   0.515406E+04   0.274830E+01   0.134519E-04   0.699065E+02
   255   0.513338E+04   0.284070E+01   0.134454E-04   0.714239E+02
   256   0.511228E+04   0.293556E+01   0.134346E-04   0.729280E+02
   257   0.509073E+04   0.303242E+01   0.134197E-04   0.744106E+02
   258   0.506868E+04   0.313165E+01   0.134009E-04   0.758844E+02
   259   0.504619E+04   0.323311E+01   0.133782E-04   0.773344E+02
   260   0.502334E+04   0.333678E+01   0.133517E-04   0.787756E+02
   261   0.499999E+04   0.344260E+01   0.133215E-04   0.801857E+02
   262   0.497613E+04   0.355077E+01   0.132878E-04   0.815870E+02
   263   0.495213E+04   0.366108E+01   0.132505E-04   0.829721E+02
   264   0.492755E+04   0.377359E+01   0.132098E-04   0.843336E+02
   265   0.490246E+04   0.388823E+01   0.131658E-04   0.856640E+02
   266   0.487710E+04   0.400522E+01   0.131187E-04   0.869856E+02
   267   0.485122E+04   0.412417E+01   0.130684E-04   0.882762E+02
   268   0.482499E+04   0.424547E+01   0.130151E-04   0.895507E+02
   269   0.479826E+04   0.436880E+01   0.129589E-04   0.908017E+02
   270   0.477132E+04   0.449424E+01   0.128999E-04   0.920290E+02
   271   0.474395E+04   0.462172E+01   0.128382E-04   0.932329E+02
   272   0.471637E+04   0.475151E+01   0.127738E-04   0.944058E+02
   273   0.468836E+04   0.488304E+01   0.127070E-04   0.955626E+02
   274   0.466008E+04   0.501688E+01   0.126377E-04   0.966810E+02
   275   0.463144E+04   0.515251E+01   0.125661E-04   0.977835E+02
   276   0.460259E+04   0.529016E+01   0.124922E-04   0.988476E+02
   277   0.457332E+04   0.542982E+01   0.124162E-04   0.998957E+02
   278   0.454385E+04   0.557141E+01   0.123382E-04   0.100905E+03
   279   0.451409E+04   0.571485E+01   0.122583E-04   0.101884E+03
   280   0.448406E+04   0.586015E+01   0.121765E-04   0.102847E+03
   281   0.445390E+04   0.600737E+01   0.120929E-04   0.103772E+03
   282   0.442332E+04   0.615620E+01   0.120077E-04   0.104666E+03
   283   0.439261E+04   0.630688E+01   0.119210E-04   0.105529E+03
   284   0.436170E+04   0.645932E+01   0.118328E-04   0.106361E+03
   285   0.433058E+04   0.661352E+01   0.117433E-04   0.107163E+03
   286   0.429919E+04   0.676932E+01   0.116525E-04   0.107926E+03
   287   0.426760E+04   0.692673E+01   0.115606E-04   0.108667E+03
   288   0.423589E+04   0.708573E+01   0.114676E-04   0.109369E+03
   289   0.420398E+04   0.724626E+01   0.113736E-04   0.110040E+03
   290   0.417194E+04   0.740816E+01   0.112787E-04   0.110680E+03
   291   0.413977E+04   0.757216E+01   0.111831E-04   0.111275E+03
   292   0.410719E+04   0.773716E+01   0.110868E-04   0.111847E+03
   293   0.407478E+04   0.790278E+01   0.109900E-04   0.112373E+03
   294   0.404210E+04   0.807049E+01   0.108926E-04   0.112876E+03
   295   0.400952E+04   0.823881E+01   0.107949E-04   0.113334E+03
   296   0.397666E+04   0.840922E+01   0.106969E-04   0.113761E+03
   297   0.394376E+04   0.857949E+01   0.105987E-04   0.114157E+03
   298   0.391067E+04   0.875185E+01   0.105005E-04   0.114508E+03
   299   0.387760E+04   0.892554E+01   0.104022E-04   0.114821E+03
   300   0.384441E+04   0.909908E+01   0.103040E-04   0.115096E+03
   301   0.381117E+04   0.927395E+01   0.102061E-04   0.115341E+03
   302   0.377796E+04   0.944941E+01   0.101084E-04   0.115555E+03
   303   0.374471E+04   0.962620E+01   0.100109E-04   0.115724E+03
   304   0.371141E+04   0.980431E+01   0.991387E-05   0.115847E+03
   305   0.367814E+04   0.998226E+01   0.981717E-05   0.115940E+03
   306   0.364482E+04   0.101608E+02   0.972090E-05   0.115996E+03
   307   0.361152E+04   0.103399E+02   0.962511E-05   0.116006E+03
   308   0.357826E+04   0.105211E+02   0.952984E-05   0.115994E+03
   309   0.354510E+04   0.107013E+02   0.943513E-05   0.115929E+03
   310   0.351189E+04   0.108814E+02   0.934103E-05   0.115834E+03
   311   0.347878E+04   0.110636E+02   0.924759E-05   0.115695E+03
   312   0.344577E+04   0.112448E+02   0.915485E-05   0.115525E+03
   313   0.341279E+04   0.114267E+02   0.906285E-05   0.115311E+03
   314   0.337991E+04   0.116090E+02   0.897165E-05   0.115066E+03
   315   0.334713E+04   0.117905E+02   0.888128E-05   0.114777E+03
   316   0.331446E+04   0.119725E+02   0.879179E-05   0.114451E+03
   317   0.328188E+04   0.121536E+02   0.870323E-05   0.114088E+03
   318   0.324940E+04   0.123361E+02   0.861564E-05   0.113688E+03
   319   0.321710E+04   0.125176E+02   0.852907E-05   0.113251E+03
   320   0.318497E+04   0.126989E+02   0.844356E-05   0.112784E+03
   321   0.315295E+04   0.128807E+02   0.835916E-05   0.112273E+03
   322   0.312109E+04   0.130609E+02   0.827591E-05   0.111725E+03
   323   0.308942E+04   0.132410E+02   0.819386E-05   0.111140E+03
   324   0.305791E+04   0.134215E+02   0.811305E-05   0.110512E+03
   325   0.302666E+04   0.135989E+02   0.803353E-05   0.109861E+03
   326   0.299550E+04   0.137776E+02   0.795535E-05   0.109159E+03
   327   0.296459E+04   0.139554E+02   0.787854E-05   0.108427E+03
   328   0.293393E+04   0.141315E+02   0.780315E-05   0.107667E+03
   329   0.290345E+04   0.143074E+02   0.772924E-05   0.106862E+03
   330   0.287321E+04   0.144816E+02   0.765683E-05   0.106022E+03
   331   0.284329E+04   0.146549E+02   0.758599E-05   0.105152E+03
   332   0.281355E+04   0.148279E+02   0.751675E-05   0.104253E+03
   333   0.278405E+04   0.149993E+02   0.744916E-05   0.103318E+03
   334   0.275488E+04   0.151698E+02   0.738327E-05   0.102347E+03
   335   0.272587E+04   0.153378E+02   0.731911E-05   0.101340E+03
   336   0.269719E+04   0.155048E+02   0.725674E-05   0.100304E+03
   337   0.266883E+04   0.156709E+02   0.719621E-05   0.992246E+02
   338   0.264072E+04   0.158346E+02   0.713754E-05   0.981240E+02
   339   0.261300E+04   0.159981E+02   0.708080E-05   0.969875E+02
   340   0.258553E+04   0.161591E+02   0.702602E-05   0.958299E+02
   341   0.255831E+04   0.163177E+02   0.697326E-05   0.946291E+02
   342   0.253148E+04   0.164761E+02   0.692255E-05   0.933999E+02
   343   0.250497E+04   0.166312E+02   0.687394E-05   0.921424E+02
   344   0.247886E+04   0.167847E+02   0.682748E-05   0.908567E+02
   345   0.245299E+04   0.169358E+02   0.678321E-05   0.895427E+02
   346   0.242752E+04   0.170858E+02   0.674117E-05   0.882080E+02
   347   0.240236E+04   0.172327E+02   0.670142E-05   0.868378E+02
   348   0.237760E+04   0.173772E+02   0.666400E-05   0.854396E+02
   349   0.235316E+04   0.175199E+02   0.662895E-05   0.840134E+02
   350   0.232912E+04   0.176594E+02   0.659632E-05   0.825667E+02
   351   0.230562E+04   0.177972E+02   0.656613E-05   0.810921E+02
   352   0.228228E+04   0.179326E+02   0.653833E-05   0.795896E+02
   353   0.225942E+04   0.180648E+02   0.651284E-05   0.780741E+02
   354   0.223687E+04   0.181945E+02   0.648960E-05   0.765234E+02
   355   0.221479E+04   0.183218E+02   0.646853E-05   0.749524E+02
   356   0.219309E+04   0.184467E+02   0.644955E-05   0.733685E+02
   357   0.217179E+04   0.185684E+02   0.643260E-05   0.717568E+02
   358   0.215095E+04   0.186862E+02   0.641760E-05   0.701322E+02
   359   0.213043E+04   0.188017E+02   0.640447E-05   0.684800E+02
