#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  3507   0.603654E+01  -0.392242E+00   0.171155E-07  -0.392242E+00   0.295933E+00   0.188869E-08   0.171155E-07   0.188869E-08   0.306348E-09
  3508   0.602728E+01  -0.394157E+00   0.171002E-07  -0.394157E+00   0.295036E+00   0.187011E-08   0.171002E-07   0.187011E-08   0.306026E-09
  3509   0.601822E+01  -0.396027E+00   0.170862E-07  -0.396027E+00   0.294125E+00   0.185142E-08   0.170862E-07   0.185142E-08   0.305703E-09
  3510   0.600943E+01  -0.397861E+00   0.170734E-07  -0.397861E+00   0.293192E+00   0.183264E-08   0.170734E-07   0.183264E-08   0.305381E-09
  3511   0.600068E+01  -0.399651E+00   0.170620E-07  -0.399651E+00   0.292254E+00   0.181376E-08   0.170620E-07   0.181376E-08   0.305060E-09
  3512   0.599214E+01  -0.401390E+00   0.170518E-07  -0.401390E+00   0.291295E+00   0.179478E-08   0.170518E-07   0.179478E-08   0.304739E-09
  3513   0.598364E+01  -0.403095E+00   0.170428E-07  -0.403095E+00   0.290323E+00   0.177572E-08   0.170428E-07   0.177572E-08   0.304418E-09
  3514   0.597549E+01  -0.404752E+00   0.170351E-07  -0.404752E+00   0.289324E+00   0.175656E-08   0.170351E-07   0.175656E-08   0.304097E-09
  3515   0.596730E+01  -0.406353E+00   0.170287E-07  -0.406353E+00   0.288327E+00   0.173731E-08   0.170287E-07   0.173731E-08   0.303777E-09
  3516   0.595946E+01  -0.407928E+00   0.170235E-07  -0.407928E+00   0.287303E+00   0.171798E-08   0.170235E-07   0.171798E-08   0.303457E-09
  3517   0.595166E+01  -0.409450E+00   0.170196E-07  -0.409450E+00   0.286260E+00   0.169857E-08   0.170196E-07   0.169857E-08   0.303137E-09
  3518   0.594397E+01  -0.410919E+00   0.170169E-07  -0.410919E+00   0.285205E+00   0.167908E-08   0.170169E-07   0.167908E-08   0.302817E-09
  3519   0.593648E+01  -0.412349E+00   0.170155E-07  -0.412349E+00   0.284138E+00   0.165951E-08   0.170155E-07   0.165951E-08   0.302498E-09
  3520   0.592909E+01  -0.413728E+00   0.170153E-07  -0.413728E+00   0.283061E+00   0.163986E-08   0.170153E-07   0.163986E-08   0.302180E-09
  3521   0.592189E+01  -0.415071E+00   0.170163E-07  -0.415071E+00   0.281964E+00   0.162014E-08   0.170163E-07   0.162014E-08   0.301861E-09
  3522   0.591473E+01  -0.416348E+00   0.170185E-07  -0.416348E+00   0.280865E+00   0.160035E-08   0.170185E-07   0.160035E-08   0.301543E-09
  3523   0.590768E+01  -0.417583E+00   0.170220E-07  -0.417583E+00   0.279747E+00   0.158049E-08   0.170220E-07   0.158049E-08   0.301225E-09
  3524   0.590073E+01  -0.418777E+00   0.170267E-07  -0.418777E+00   0.278619E+00   0.156057E-08   0.170267E-07   0.156057E-08   0.300908E-09
  3525   0.589404E+01  -0.419915E+00   0.170326E-07  -0.419915E+00   0.277474E+00   0.154058E-08   0.170326E-07   0.154058E-08   0.300590E-09
  3526   0.588724E+01  -0.421005E+00   0.170397E-07  -0.421005E+00   0.276319E+00   0.152053E-08   0.170397E-07   0.152053E-08   0.300273E-09
  3527   0.588061E+01  -0.422049E+00   0.170480E-07  -0.422049E+00   0.275154E+00   0.150042E-08   0.170480E-07   0.150042E-08   0.299957E-09
  3528   0.587416E+01  -0.423039E+00   0.170575E-07  -0.423039E+00   0.273972E+00   0.148025E-08   0.170575E-07   0.148025E-08   0.299640E-09
  3529   0.586781E+01  -0.423976E+00   0.170683E-07  -0.423976E+00   0.272789E+00   0.146003E-08   0.170683E-07   0.146003E-08   0.299324E-09
  3530   0.586142E+01  -0.424861E+00   0.170802E-07  -0.424861E+00   0.271590E+00   0.143976E-08   0.170802E-07   0.143976E-08   0.299009E-09
  3531   0.585527E+01  -0.425703E+00   0.170933E-07  -0.425703E+00   0.270374E+00   0.141943E-08   0.170933E-07   0.141943E-08   0.298693E-09
  3532   0.584908E+01  -0.426486E+00   0.171076E-07  -0.426486E+00   0.269157E+00   0.139906E-08   0.171076E-07   0.139906E-08   0.298378E-09
  3533   0.584298E+01  -0.427220E+00   0.171231E-07  -0.427220E+00   0.267932E+00   0.137865E-08   0.171231E-07   0.137865E-08   0.298064E-09
  3534   0.583705E+01  -0.427904E+00   0.171397E-07  -0.427904E+00   0.266684E+00   0.135819E-08   0.171397E-07   0.135819E-08   0.297749E-09
  3535   0.583107E+01  -0.428532E+00   0.171576E-07  -0.428532E+00   0.265451E+00   0.133770E-08   0.171576E-07   0.133770E-08   0.297435E-09
  3536   0.582525E+01  -0.429098E+00   0.171766E-07  -0.429098E+00   0.264188E+00   0.131716E-08   0.171766E-07   0.131716E-08   0.297121E-09
  3537   0.581946E+01  -0.429625E+00   0.171968E-07  -0.429625E+00   0.262925E+00   0.129659E-08   0.171968E-07   0.129659E-08   0.296808E-09
  3538   0.581383E+01  -0.430098E+00   0.172181E-07  -0.430098E+00   0.261633E+00   0.127599E-08   0.172181E-07   0.127599E-08   0.296494E-09
  3539   0.580814E+01  -0.430510E+00   0.172406E-07  -0.430510E+00   0.260349E+00   0.125535E-08   0.172406E-07   0.125535E-08   0.296181E-09
  3540   0.580247E+01  -0.430878E+00   0.172642E-07  -0.430878E+00   0.259059E+00   0.123469E-08   0.172642E-07   0.123469E-08   0.295869E-09
  3541   0.579688E+01  -0.431171E+00   0.172891E-07  -0.431171E+00   0.257754E+00   0.121400E-08   0.172891E-07   0.121400E-08   0.295557E-09
  3542   0.579131E+01  -0.431429E+00   0.173150E-07  -0.431429E+00   0.256459E+00   0.119329E-08   0.173150E-07   0.119329E-08   0.295245E-09
  3543   0.578582E+01  -0.431637E+00   0.173421E-07  -0.431637E+00   0.255150E+00   0.117256E-08   0.173421E-07   0.117256E-08   0.294933E-09
  3544   0.578035E+01  -0.431788E+00   0.173703E-07  -0.431788E+00   0.253828E+00   0.115181E-08   0.173703E-07   0.115181E-08   0.294621E-09
  3545   0.577488E+01  -0.431905E+00   0.173997E-07  -0.431905E+00   0.252508E+00   0.113104E-08   0.173997E-07   0.113104E-08   0.294310E-09
  3546   0.576942E+01  -0.431952E+00   0.174302E-07  -0.431952E+00   0.251183E+00   0.111026E-08   0.174302E-07   0.111026E-08   0.294000E-09
  3547   0.576396E+01  -0.431930E+00   0.174619E-07  -0.431930E+00   0.249854E+00   0.108947E-08   0.174619E-07   0.108947E-08   0.293689E-09
  3548   0.575851E+01  -0.431869E+00   0.174946E-07  -0.431869E+00   0.248519E+00   0.106866E-08   0.174946E-07   0.106866E-08   0.293379E-09
  3549   0.575307E+01  -0.431747E+00   0.175285E-07  -0.431747E+00   0.247180E+00   0.104785E-08   0.175285E-07   0.104785E-08   0.293069E-09
  3550   0.574770E+01  -0.431580E+00   0.175635E-07  -0.431580E+00   0.245844E+00   0.102704E-08   0.175635E-07   0.102704E-08   0.292759E-09
  3551   0.574219E+01  -0.431362E+00   0.175996E-07  -0.431362E+00   0.244497E+00   0.100622E-08   0.175996E-07   0.100622E-08   0.292450E-09
  3552   0.573683E+01  -0.431077E+00   0.176368E-07  -0.431077E+00   0.243146E+00   0.985405E-09   0.176368E-07   0.985405E-09   0.292141E-09
  3553   0.573125E+01  -0.430750E+00   0.176751E-07  -0.430750E+00   0.241798E+00   0.964591E-09   0.176751E-07   0.964591E-09   0.291832E-09
  3554   0.572582E+01  -0.430367E+00   0.177144E-07  -0.430367E+00   0.240447E+00   0.943782E-09   0.177144E-07   0.943782E-09   0.291524E-09
  3555   0.572033E+01  -0.429934E+00   0.177548E-07  -0.429934E+00   0.239099E+00   0.922980E-09   0.177548E-07   0.922980E-09   0.291216E-09
  3556   0.571484E+01  -0.429439E+00   0.177963E-07  -0.429439E+00   0.237732E+00   0.902187E-09   0.177963E-07   0.902187E-09   0.290908E-09
  3557   0.570937E+01  -0.428897E+00   0.178387E-07  -0.428897E+00   0.236383E+00   0.881406E-09   0.178387E-07   0.881406E-09   0.290601E-09
  3558   0.570376E+01  -0.428293E+00   0.178821E-07  -0.428293E+00   0.235016E+00   0.860640E-09   0.178821E-07   0.860640E-09   0.290293E-09
  3559   0.569824E+01  -0.427652E+00   0.179266E-07  -0.427652E+00   0.233667E+00   0.839889E-09   0.179266E-07   0.839889E-09   0.289987E-09
  3560   0.569258E+01  -0.426950E+00   0.179719E-07  -0.426950E+00   0.232306E+00   0.819158E-09   0.179719E-07   0.819158E-09   0.289680E-09
  3561   0.568701E+01  -0.426205E+00   0.180183E-07  -0.426205E+00   0.230950E+00   0.798447E-09   0.180183E-07   0.798447E-09   0.289374E-09
  3562   0.568139E+01  -0.425409E+00   0.180655E-07  -0.425409E+00   0.229589E+00   0.777760E-09   0.180655E-07   0.777760E-09   0.289068E-09
  3563   0.567563E+01  -0.424563E+00   0.181137E-07  -0.424563E+00   0.228232E+00   0.757099E-09   0.181137E-07   0.757099E-09   0.288762E-09
  3564   0.566997E+01  -0.423661E+00   0.181628E-07  -0.423661E+00   0.226878E+00   0.736466E-09   0.181628E-07   0.736466E-09   0.288457E-09
  3565   0.566419E+01  -0.422710E+00   0.182127E-07  -0.422710E+00   0.225513E+00   0.715863E-09   0.182127E-07   0.715863E-09   0.288152E-09
  3566   0.565835E+01  -0.421711E+00   0.182635E-07  -0.421711E+00   0.224151E+00   0.695293E-09   0.182635E-07   0.695293E-09   0.287847E-09
  3567   0.565253E+01  -0.420659E+00   0.183152E-07  -0.420659E+00   0.222793E+00   0.674758E-09   0.183152E-07   0.674758E-09   0.287542E-09
  3568   0.564660E+01  -0.419560E+00   0.183677E-07  -0.419560E+00   0.221439E+00   0.654261E-09   0.183677E-07   0.654261E-09   0.287238E-09
  3569   0.564069E+01  -0.418416E+00   0.184210E-07  -0.418416E+00   0.220088E+00   0.633803E-09   0.184210E-07   0.633803E-09   0.286934E-09
  3570   0.563480E+01  -0.417227E+00   0.184752E-07  -0.417227E+00   0.218733E+00   0.613388E-09   0.184752E-07   0.613388E-09   0.286630E-09
  3571   0.562873E+01  -0.415987E+00   0.185301E-07  -0.415987E+00   0.217382E+00   0.593016E-09   0.185301E-07   0.593016E-09   0.286327E-09
  3572   0.562254E+01  -0.414696E+00   0.185857E-07  -0.414696E+00   0.216034E+00   0.572692E-09   0.185857E-07   0.572692E-09   0.286024E-09
  3573   0.561638E+01  -0.413371E+00   0.186421E-07  -0.413371E+00   0.214690E+00   0.552417E-09   0.186421E-07   0.552417E-09   0.285721E-09
  3574   0.561018E+01  -0.411997E+00   0.186993E-07  -0.411997E+00   0.213349E+00   0.532193E-09   0.186993E-07   0.532193E-09   0.285419E-09
  3575   0.560394E+01  -0.410567E+00   0.187572E-07  -0.410567E+00   0.212012E+00   0.512022E-09   0.187572E-07   0.512022E-09   0.285117E-09
  3576   0.559759E+01  -0.409105E+00   0.188157E-07  -0.409105E+00   0.210679E+00   0.491908E-09   0.188157E-07   0.491908E-09   0.284815E-09
  3577   0.559121E+01  -0.407596E+00   0.188750E-07  -0.407596E+00   0.209341E+00   0.471853E-09   0.188750E-07   0.471853E-09   0.284513E-09
  3578   0.558471E+01  -0.406056E+00   0.189349E-07  -0.406056E+00   0.208022E+00   0.451858E-09   0.189349E-07   0.451858E-09   0.284212E-09
  3579   0.557818E+01  -0.404463E+00   0.189955E-07  -0.404463E+00   0.206707E+00   0.431926E-09   0.189955E-07   0.431926E-09   0.283911E-09
  3580   0.557155E+01  -0.402834E+00   0.190567E-07  -0.402834E+00   0.205381E+00   0.412059E-09   0.190567E-07   0.412059E-09   0.283610E-09
  3581   0.556489E+01  -0.401161E+00   0.191185E-07  -0.401161E+00   0.204072E+00   0.392261E-09   0.191185E-07   0.392261E-09   0.283310E-09
  3582   0.555812E+01  -0.399445E+00   0.191810E-07  -0.399445E+00   0.202768E+00   0.372532E-09   0.191810E-07   0.372532E-09   0.283010E-09
  3583   0.555125E+01  -0.397695E+00   0.192440E-07  -0.397695E+00   0.201460E+00   0.352876E-09   0.192440E-07   0.352876E-09   0.282710E-09
  3584   0.554436E+01  -0.395910E+00   0.193076E-07  -0.395910E+00   0.200162E+00   0.333294E-09   0.193076E-07   0.333294E-09   0.282411E-09
  3585   0.553736E+01  -0.394086E+00   0.193717E-07  -0.394086E+00   0.198869E+00   0.313790E-09   0.193717E-07   0.313790E-09   0.282111E-09
  3586   0.553035E+01  -0.392221E+00   0.194364E-07  -0.392221E+00   0.197586E+00   0.294364E-09   0.194364E-07   0.294364E-09   0.281812E-09
  3587   0.552316E+01  -0.390325E+00   0.195016E-07  -0.390325E+00   0.196314E+00   0.275021E-09   0.195016E-07   0.275021E-09   0.281514E-09
  3588   0.551588E+01  -0.388391E+00   0.195673E-07  -0.388391E+00   0.195039E+00   0.255762E-09   0.195673E-07   0.255762E-09   0.281215E-09
  3589   0.550858E+01  -0.386427E+00   0.196335E-07  -0.386427E+00   0.193775E+00   0.236589E-09   0.196335E-07   0.236589E-09   0.280917E-09
  3590   0.550126E+01  -0.384433E+00   0.197001E-07  -0.384433E+00   0.192529E+00   0.217505E-09   0.197001E-07   0.217505E-09   0.280620E-09
  3591   0.549370E+01  -0.382396E+00   0.197672E-07  -0.382396E+00   0.191279E+00   0.198511E-09   0.197672E-07   0.198511E-09   0.280322E-09
  3592   0.548620E+01  -0.380339E+00   0.198348E-07  -0.380339E+00   0.190041E+00   0.179612E-09   0.198348E-07   0.179612E-09   0.280025E-09
  3593   0.547846E+01  -0.378248E+00   0.199028E-07  -0.378248E+00   0.188813E+00   0.160808E-09   0.199028E-07   0.160808E-09   0.279728E-09
  3594   0.547064E+01  -0.376123E+00   0.199711E-07  -0.376123E+00   0.187597E+00   0.142102E-09   0.199711E-07   0.142102E-09   0.279431E-09
  3595   0.546266E+01  -0.373972E+00   0.200399E-07  -0.373972E+00   0.186384E+00   0.123496E-09   0.200399E-07   0.123496E-09   0.279135E-09
  3596   0.545467E+01  -0.371775E+00   0.201090E-07  -0.371775E+00   0.185182E+00   0.104993E-09   0.201090E-07   0.104993E-09   0.278839E-09
  3597   0.544668E+01  -0.369583E+00   0.201785E-07  -0.369583E+00   0.183992E+00   0.865950E-10   0.201785E-07   0.865950E-10   0.278543E-09
  3598   0.543845E+01  -0.367361E+00   0.202484E-07  -0.367361E+00   0.182812E+00   0.683044E-10   0.202484E-07   0.683044E-10   0.278248E-09
  3599   0.543015E+01  -0.365101E+00   0.203185E-07  -0.365101E+00   0.181644E+00   0.501236E-10   0.203185E-07   0.501236E-10   0.277953E-09
  3600   0.542176E+01  -0.362850E+00   0.203890E-07  -0.362850E+00   0.180479E+00   0.320547E-10   0.203890E-07   0.320547E-10   0.277658E-09
  3601   0.541323E+01  -0.360563E+00   0.204597E-07  -0.360563E+00   0.179333E+00   0.141000E-10   0.204597E-07   0.141000E-10   0.277363E-09
  3602   0.540462E+01  -0.358248E+00   0.205307E-07  -0.358248E+00   0.178198E+00  -0.373957E-11   0.205307E-07  -0.373957E-11   0.277069E-09
  3603   0.539586E+01  -0.355912E+00   0.206021E-07  -0.355912E+00   0.177066E+00  -0.214633E-10   0.206021E-07  -0.214633E-10   0.276775E-09
  3604   0.538704E+01  -0.353564E+00   0.206736E-07  -0.353564E+00   0.175952E+00  -0.390703E-10   0.206736E-07  -0.390703E-10   0.276481E-09
  3605   0.537815E+01  -0.351188E+00   0.207455E-07  -0.351188E+00   0.174848E+00  -0.565600E-10   0.207455E-07  -0.565600E-10   0.276187E-09
  3606   0.536912E+01  -0.348800E+00   0.208176E-07  -0.348800E+00   0.173755E+00  -0.739314E-10   0.208176E-07  -0.739314E-10   0.275894E-09
  3607   0.535995E+01  -0.346384E+00   0.208899E-07  -0.346384E+00   0.172672E+00  -0.911839E-10   0.208899E-07  -0.911839E-10   0.275601E-09
  3608   0.535079E+01  -0.343964E+00   0.209625E-07  -0.343964E+00   0.171606E+00  -0.108317E-09   0.209625E-07  -0.108317E-09   0.275309E-09
  3609   0.534143E+01  -0.341524E+00   0.210353E-07  -0.341524E+00   0.170543E+00  -0.125329E-09   0.210353E-07  -0.125329E-09   0.275016E-09
  3610   0.533194E+01  -0.339058E+00   0.211084E-07  -0.339058E+00   0.169504E+00  -0.142220E-09   0.211084E-07  -0.142220E-09   0.274724E-09
  3611   0.532231E+01  -0.336581E+00   0.211816E-07  -0.336581E+00   0.168474E+00  -0.158989E-09   0.211816E-07  -0.158989E-09   0.274433E-09
  3612   0.531264E+01  -0.334099E+00   0.212551E-07  -0.334099E+00   0.167446E+00  -0.175636E-09   0.212551E-07  -0.175636E-09   0.274141E-09
  3613   0.530284E+01  -0.331591E+00   0.213288E-07  -0.331591E+00   0.166435E+00  -0.192158E-09   0.213288E-07  -0.192158E-09   0.273850E-09
  3614   0.529299E+01  -0.329088E+00   0.214028E-07  -0.329088E+00   0.165440E+00  -0.208557E-09   0.214028E-07  -0.208557E-09   0.273559E-09
  3615   0.528303E+01  -0.326558E+00   0.214769E-07  -0.326558E+00   0.164454E+00  -0.224831E-09   0.214769E-07  -0.224831E-09   0.273268E-09
  3616   0.527287E+01  -0.324011E+00   0.215511E-07  -0.324011E+00   0.163484E+00  -0.240978E-09   0.215511E-07  -0.240978E-09   0.272978E-09
  3617   0.526267E+01  -0.321468E+00   0.216256E-07  -0.321468E+00   0.162522E+00  -0.256999E-09   0.216256E-07  -0.256999E-09   0.272688E-09
  3618   0.525236E+01  -0.318907E+00   0.217003E-07  -0.318907E+00   0.161575E+00  -0.272893E-09   0.217003E-07  -0.272893E-09   0.272398E-09
  3619   0.524201E+01  -0.316337E+00   0.217751E-07  -0.316337E+00   0.160637E+00  -0.288659E-09   0.217751E-07  -0.288659E-09   0.272109E-09
  3620   0.523156E+01  -0.313764E+00   0.218501E-07  -0.313764E+00   0.159714E+00  -0.304296E-09   0.218501E-07  -0.304296E-09   0.271819E-09
  3621   0.522092E+01  -0.311173E+00   0.219252E-07  -0.311173E+00   0.158807E+00  -0.319803E-09   0.219252E-07  -0.319803E-09   0.271530E-09
  3622   0.521018E+01  -0.308581E+00   0.220005E-07  -0.308581E+00   0.157914E+00  -0.335180E-09   0.220005E-07  -0.335180E-09   0.271242E-09
  3623   0.519933E+01  -0.305979E+00   0.220760E-07  -0.305979E+00   0.157036E+00  -0.350425E-09   0.220760E-07  -0.350425E-09   0.270953E-09
  3624   0.518839E+01  -0.303384E+00   0.221515E-07  -0.303384E+00   0.156157E+00  -0.365539E-09   0.221515E-07  -0.365539E-09   0.270665E-09
  3625   0.517728E+01  -0.300779E+00   0.222272E-07  -0.300779E+00   0.155308E+00  -0.380520E-09   0.222272E-07  -0.380520E-09   0.270377E-09
  3626   0.516621E+01  -0.298165E+00   0.223031E-07  -0.298165E+00   0.154466E+00  -0.395368E-09   0.223031E-07  -0.395368E-09   0.270090E-09
  3627   0.515499E+01  -0.295543E+00   0.223790E-07  -0.295543E+00   0.153638E+00  -0.410081E-09   0.223790E-07  -0.410081E-09   0.269803E-09
  3628   0.514367E+01  -0.292935E+00   0.224551E-07  -0.292935E+00   0.152817E+00  -0.424659E-09   0.224551E-07  -0.424659E-09   0.269516E-09
  3629   0.513226E+01  -0.290318E+00   0.225312E-07  -0.290318E+00   0.152016E+00  -0.439102E-09   0.225312E-07  -0.439102E-09   0.269229E-09
  3630   0.512076E+01  -0.287701E+00   0.226075E-07  -0.287701E+00   0.151230E+00  -0.453408E-09   0.226075E-07  -0.453408E-09   0.268942E-09
  3631   0.510911E+01  -0.285084E+00   0.226838E-07  -0.285084E+00   0.150449E+00  -0.467577E-09   0.226838E-07  -0.467577E-09   0.268656E-09
  3632   0.509730E+01  -0.282474E+00   0.227602E-07  -0.282474E+00   0.149682E+00  -0.481608E-09   0.227602E-07  -0.481608E-09   0.268370E-09
  3633   0.508556E+01  -0.279864E+00   0.228367E-07  -0.279864E+00   0.148935E+00  -0.495500E-09   0.228367E-07  -0.495500E-09   0.268085E-09
  3634   0.507366E+01  -0.277261E+00   0.229133E-07  -0.277261E+00   0.148193E+00  -0.509253E-09   0.229133E-07  -0.509253E-09   0.267799E-09
  3635   0.506170E+01  -0.274666E+00   0.229900E-07  -0.274666E+00   0.147472E+00  -0.522865E-09   0.229900E-07  -0.522865E-09   0.267514E-09
  3636   0.504965E+01  -0.272065E+00   0.230666E-07  -0.272065E+00   0.146770E+00  -0.536337E-09   0.230666E-07  -0.536337E-09   0.267229E-09
  3637   0.503747E+01  -0.269478E+00   0.231434E-07  -0.269478E+00   0.146067E+00  -0.549666E-09   0.231434E-07  -0.549666E-09   0.266945E-09
  3638   0.502529E+01  -0.266893E+00   0.232202E-07  -0.266893E+00   0.145390E+00  -0.562853E-09   0.232202E-07  -0.562853E-09   0.266661E-09
  3639   0.501296E+01  -0.264316E+00   0.232970E-07  -0.264316E+00   0.144725E+00  -0.575896E-09   0.232970E-07  -0.575896E-09   0.266377E-09
  3640   0.500058E+01  -0.261756E+00   0.233739E-07  -0.261756E+00   0.144073E+00  -0.588795E-09   0.233739E-07  -0.588795E-09   0.266093E-09
  3641   0.498806E+01  -0.259204E+00   0.234507E-07  -0.259204E+00   0.143432E+00  -0.601550E-09   0.234507E-07  -0.601550E-09   0.265810E-09
  3642   0.497547E+01  -0.256654E+00   0.235276E-07  -0.256654E+00   0.142802E+00  -0.614158E-09   0.235276E-07  -0.614158E-09   0.265527E-09
  3643   0.496291E+01  -0.254128E+00   0.236046E-07  -0.254128E+00   0.142192E+00  -0.626621E-09   0.236046E-07  -0.626621E-09   0.265244E-09
  3644   0.495006E+01  -0.251612E+00   0.236815E-07  -0.251612E+00   0.141592E+00  -0.638936E-09   0.236815E-07  -0.638936E-09   0.264961E-09
  3645   0.493731E+01  -0.249105E+00   0.237584E-07  -0.249105E+00   0.141011E+00  -0.651103E-09   0.237584E-07  -0.651103E-09   0.264679E-09
  3646   0.492444E+01  -0.246615E+00   0.238353E-07  -0.246615E+00   0.140441E+00  -0.663122E-09   0.238353E-07  -0.663122E-09   0.264397E-09
  3647   0.491159E+01  -0.244143E+00   0.239122E-07  -0.244143E+00   0.139874E+00  -0.674991E-09   0.239122E-07  -0.674991E-09   0.264115E-09
  3648   0.489855E+01  -0.241689E+00   0.239890E-07  -0.241689E+00   0.139333E+00  -0.686709E-09   0.239890E-07  -0.686709E-09   0.263833E-09
  3649   0.488553E+01  -0.239252E+00   0.240659E-07  -0.239252E+00   0.138802E+00  -0.698277E-09   0.240659E-07  -0.698277E-09   0.263552E-09
  3650   0.487240E+01  -0.236841E+00   0.241427E-07  -0.236841E+00   0.138281E+00  -0.709693E-09   0.241427E-07  -0.709693E-09   0.263271E-09
  3651   0.485931E+01  -0.234432E+00   0.242194E-07  -0.234432E+00   0.137778E+00  -0.720957E-09   0.242194E-07  -0.720957E-09   0.262991E-09
  3652   0.484610E+01  -0.232064E+00   0.242961E-07  -0.232064E+00   0.137284E+00  -0.732068E-09   0.242961E-07  -0.732068E-09   0.262710E-09
  3653   0.483278E+01  -0.229706E+00   0.243728E-07  -0.229706E+00   0.136808E+00  -0.743025E-09   0.243728E-07  -0.743025E-09   0.262430E-09
  3654   0.481942E+01  -0.227373E+00   0.244493E-07  -0.227373E+00   0.136333E+00  -0.753829E-09   0.244493E-07  -0.753829E-09   0.262150E-09
  3655   0.480595E+01  -0.225056E+00   0.245258E-07  -0.225056E+00   0.135883E+00  -0.764480E-09   0.245258E-07  -0.764480E-09   0.261871E-09
  3656   0.479252E+01  -0.222762E+00   0.246021E-07  -0.222762E+00   0.135442E+00  -0.774976E-09   0.246021E-07  -0.774976E-09   0.261591E-09
  3657   0.477898E+01  -0.220499E+00   0.246783E-07  -0.220499E+00   0.135018E+00  -0.785318E-09   0.246783E-07  -0.785318E-09   0.261312E-09
  3658   0.476549E+01  -0.218252E+00   0.247544E-07  -0.218252E+00   0.134609E+00  -0.795505E-09   0.247544E-07  -0.795505E-09   0.261033E-09
  3659   0.475181E+01  -0.216027E+00   0.248304E-07  -0.216027E+00   0.134202E+00  -0.805537E-09   0.248304E-07  -0.805537E-09   0.260755E-09
  3660   0.473818E+01  -0.213824E+00   0.249062E-07  -0.213824E+00   0.133819E+00  -0.815414E-09   0.249062E-07  -0.815414E-09   0.260477E-09
  3661   0.472437E+01  -0.211650E+00   0.249818E-07  -0.211650E+00   0.133443E+00  -0.825135E-09   0.249818E-07  -0.825135E-09   0.260199E-09
  3662   0.471068E+01  -0.209498E+00   0.250573E-07  -0.209498E+00   0.133084E+00  -0.834701E-09   0.250573E-07  -0.834701E-09   0.259921E-09
  3663   0.469689E+01  -0.207373E+00   0.251325E-07  -0.207373E+00   0.132732E+00  -0.844109E-09   0.251325E-07  -0.844109E-09   0.259643E-09
  3664   0.468299E+01  -0.205277E+00   0.252076E-07  -0.205277E+00   0.132396E+00  -0.853362E-09   0.252076E-07  -0.853362E-09   0.259366E-09
  3665   0.466907E+01  -0.203186E+00   0.252824E-07  -0.203186E+00   0.132067E+00  -0.862457E-09   0.252824E-07  -0.862457E-09   0.259089E-09
  3666   0.465520E+01  -0.201144E+00   0.253570E-07  -0.201144E+00   0.131746E+00  -0.871396E-09   0.253570E-07  -0.871396E-09   0.258813E-09
  3667   0.464123E+01  -0.199128E+00   0.254313E-07  -0.199128E+00   0.131454E+00  -0.880176E-09   0.254313E-07  -0.880176E-09   0.258536E-09
  3668   0.462732E+01  -0.197125E+00   0.255054E-07  -0.197125E+00   0.131162E+00  -0.888799E-09   0.255054E-07  -0.888799E-09   0.258260E-09
  3669   0.461323E+01  -0.195154E+00   0.255793E-07  -0.195154E+00   0.130885E+00  -0.897264E-09   0.255793E-07  -0.897264E-09   0.257984E-09
  3670   0.459927E+01  -0.193224E+00   0.256528E-07  -0.193224E+00   0.130614E+00  -0.905570E-09   0.256528E-07  -0.905570E-09   0.257709E-09
  3671   0.458507E+01  -0.191304E+00   0.257260E-07  -0.191304E+00   0.130365E+00  -0.913718E-09   0.257260E-07  -0.913718E-09   0.257433E-09
  3672   0.457100E+01  -0.189416E+00   0.257989E-07  -0.189416E+00   0.130123E+00  -0.921706E-09   0.257989E-07  -0.921706E-09   0.257158E-09
  3673   0.455683E+01  -0.187553E+00   0.258716E-07  -0.187553E+00   0.129887E+00  -0.929535E-09   0.258716E-07  -0.929535E-09   0.256884E-09
  3674   0.454265E+01  -0.185728E+00   0.259438E-07  -0.185728E+00   0.129672E+00  -0.937204E-09   0.259438E-07  -0.937204E-09   0.256609E-09
  3675   0.452846E+01  -0.183927E+00   0.260157E-07  -0.183927E+00   0.129463E+00  -0.944714E-09   0.260157E-07  -0.944714E-09   0.256335E-09
  3676   0.451432E+01  -0.182164E+00   0.260873E-07  -0.182164E+00   0.129267E+00  -0.952063E-09   0.260873E-07  -0.952063E-09   0.256061E-09
  3677   0.450010E+01  -0.180409E+00   0.261585E-07  -0.180409E+00   0.129077E+00  -0.959251E-09   0.261585E-07  -0.959251E-09   0.255787E-09
  3678   0.448586E+01  -0.178698E+00   0.262293E-07  -0.178698E+00   0.128900E+00  -0.966278E-09   0.262293E-07  -0.966278E-09   0.255514E-09
  3679   0.447161E+01  -0.177017E+00   0.262997E-07  -0.177017E+00   0.128735E+00  -0.973144E-09   0.262997E-07  -0.973144E-09   0.255240E-09
  3680   0.445743E+01  -0.175364E+00   0.263697E-07  -0.175364E+00   0.128576E+00  -0.979849E-09   0.263697E-07  -0.979849E-09   0.254967E-09
  3681   0.444308E+01  -0.173748E+00   0.264393E-07  -0.173748E+00   0.128429E+00  -0.986391E-09   0.264393E-07  -0.986391E-09   0.254695E-09
  3682   0.442881E+01  -0.172160E+00   0.265084E-07  -0.172160E+00   0.128295E+00  -0.992772E-09   0.265084E-07  -0.992772E-09   0.254422E-09
