#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    87   0.224950E+04  -0.146619E+02   0.440074E-03  -0.146619E+02   0.580524E+00  -0.806963E-06   0.440074E-03  -0.806963E-06   0.118500E-06
    88   0.227683E+04  -0.152717E+02   0.434337E-03  -0.152717E+02   0.596053E+00  -0.847181E-06   0.434337E-03  -0.847181E-06   0.117807E-06
    89   0.230454E+04  -0.158897E+02   0.428741E-03  -0.158897E+02   0.611619E+00  -0.888649E-06   0.428741E-03  -0.888649E-06   0.117115E-06
    90   0.233246E+04  -0.165125E+02   0.423273E-03  -0.165125E+02   0.627185E+00  -0.926943E-06   0.423273E-03  -0.926943E-06   0.116425E-06
    91   0.236054E+04  -0.171410E+02   0.417923E-03  -0.171410E+02   0.642745E+00  -0.958466E-06   0.417923E-03  -0.958466E-06   0.115739E-06
    92   0.238892E+04  -0.177742E+02   0.412684E-03  -0.177742E+02   0.658282E+00  -0.982931E-06   0.412684E-03  -0.982931E-06   0.115055E-06
    93   0.241760E+04  -0.184123E+02   0.407555E-03  -0.184123E+02   0.673790E+00  -0.100088E-05   0.407555E-03  -0.100088E-05   0.114374E-06
    94   0.244636E+04  -0.190537E+02   0.402532E-03  -0.190537E+02   0.689230E+00  -0.101285E-05   0.402532E-03  -0.101285E-05   0.113696E-06
    95   0.247542E+04  -0.196992E+02   0.397613E-03  -0.196992E+02   0.704602E+00  -0.101938E-05   0.397613E-03  -0.101938E-05   0.113021E-06
    96   0.250447E+04  -0.203481E+02   0.392795E-03  -0.203481E+02   0.719890E+00  -0.102101E-05   0.392795E-03  -0.102101E-05   0.112350E-06
    97   0.253398E+04  -0.209996E+02   0.388075E-03  -0.209996E+02   0.735080E+00  -0.101829E-05   0.388075E-03  -0.101829E-05   0.111681E-06
    98   0.256371E+04  -0.216516E+02   0.383449E-03  -0.216516E+02   0.750164E+00  -0.101175E-05   0.383449E-03  -0.101175E-05   0.111016E-06
    99   0.259352E+04  -0.223071E+02   0.378916E-03  -0.223071E+02   0.765104E+00  -0.100192E-05   0.378916E-03  -0.100192E-05   0.110354E-06
   100   0.262362E+04  -0.229615E+02   0.374472E-03  -0.229615E+02   0.779899E+00  -0.989366E-06   0.374472E-03  -0.989366E-06   0.109696E-06
   101   0.265388E+04  -0.236179E+02   0.370114E-03  -0.236179E+02   0.794608E+00  -0.974610E-06   0.370114E-03  -0.974610E-06   0.109041E-06
   102   0.268465E+04  -0.242740E+02   0.365839E-03  -0.242740E+02   0.809083E+00  -0.958195E-06   0.365839E-03  -0.958195E-06   0.108389E-06
   103   0.271535E+04  -0.249307E+02   0.361646E-03  -0.249307E+02   0.823397E+00  -0.940663E-06   0.361646E-03  -0.940663E-06   0.107741E-06
   104   0.274628E+04  -0.255849E+02   0.357530E-03  -0.255849E+02   0.837550E+00  -0.922552E-06   0.357530E-03  -0.922552E-06   0.107096E-06
   105   0.277735E+04  -0.262383E+02   0.353488E-03  -0.262383E+02   0.851467E+00  -0.904404E-06   0.353488E-03  -0.904404E-06   0.106455E-06
   106   0.280865E+04  -0.268899E+02   0.349519E-03  -0.268899E+02   0.865222E+00  -0.886757E-06   0.349519E-03  -0.886757E-06   0.105818E-06
   107   0.283987E+04  -0.275384E+02   0.345619E-03  -0.275384E+02   0.878666E+00  -0.870153E-06   0.345619E-03  -0.870153E-06   0.105184E-06
   108   0.287146E+04  -0.281846E+02   0.341785E-03  -0.281846E+02   0.891873E+00  -0.855131E-06   0.341785E-03  -0.855131E-06   0.104555E-06
   109   0.290320E+04  -0.288269E+02   0.338014E-03  -0.288269E+02   0.904767E+00  -0.842230E-06   0.338014E-03  -0.842230E-06   0.103929E-06
   110   0.293501E+04  -0.294638E+02   0.334304E-03  -0.294638E+02   0.917349E+00  -0.831992E-06   0.334304E-03  -0.831992E-06   0.103307E-06
   111   0.296698E+04  -0.300970E+02   0.330652E-03  -0.300970E+02   0.929693E+00  -0.824827E-06   0.330652E-03  -0.824827E-06   0.102689E-06
   112   0.299909E+04  -0.307256E+02   0.327056E-03  -0.307256E+02   0.941723E+00  -0.820631E-06   0.327056E-03  -0.820631E-06   0.102075E-06
   113   0.303142E+04  -0.313481E+02   0.323517E-03  -0.313481E+02   0.953440E+00  -0.819171E-06   0.323517E-03  -0.819171E-06   0.101465E-06
   114   0.306382E+04  -0.319637E+02   0.320033E-03  -0.319637E+02   0.964770E+00  -0.820213E-06   0.320033E-03  -0.820213E-06   0.100859E-06
   115   0.309645E+04  -0.325724E+02   0.316603E-03  -0.325724E+02   0.975861E+00  -0.823524E-06   0.316603E-03  -0.823524E-06   0.100257E-06
   116   0.312908E+04  -0.331734E+02   0.313227E-03  -0.331734E+02   0.986490E+00  -0.828871E-06   0.313227E-03  -0.828871E-06   0.996586E-07
   117   0.316201E+04  -0.337659E+02   0.309904E-03  -0.337659E+02   0.996731E+00  -0.836022E-06   0.309904E-03  -0.836022E-06   0.990645E-07
   118   0.319508E+04  -0.343507E+02   0.306633E-03  -0.343507E+02   0.100673E+01  -0.844742E-06   0.306633E-03  -0.844742E-06   0.984745E-07
   119   0.322816E+04  -0.349255E+02   0.303414E-03  -0.349255E+02   0.101635E+01  -0.854798E-06   0.303414E-03  -0.854798E-06   0.978885E-07
   120   0.326139E+04  -0.354903E+02   0.300245E-03  -0.354903E+02   0.102542E+01  -0.865958E-06   0.300245E-03  -0.865958E-06   0.973066E-07
   121   0.329461E+04  -0.360450E+02   0.297126E-03  -0.360450E+02   0.103426E+01  -0.877988E-06   0.297126E-03  -0.877988E-06   0.967287E-07
   122   0.332792E+04  -0.365888E+02   0.294056E-03  -0.365888E+02   0.104256E+01  -0.890656E-06   0.294056E-03  -0.890656E-06   0.961548E-07
   123   0.336130E+04  -0.371218E+02   0.291034E-03  -0.371218E+02   0.105040E+01  -0.903726E-06   0.291034E-03  -0.903726E-06   0.955850E-07
   124   0.339476E+04  -0.376409E+02   0.288060E-03  -0.376409E+02   0.105785E+01  -0.916968E-06   0.288060E-03  -0.916968E-06   0.950192E-07
   125   0.342822E+04  -0.381483E+02   0.285132E-03  -0.381483E+02   0.106484E+01  -0.930147E-06   0.285132E-03  -0.930147E-06   0.944575E-07
   126   0.346175E+04  -0.386432E+02   0.282251E-03  -0.386432E+02   0.107143E+01  -0.943030E-06   0.282251E-03  -0.943030E-06   0.938999E-07
   127   0.349529E+04  -0.391250E+02   0.279414E-03  -0.391250E+02   0.107750E+01  -0.955384E-06   0.279414E-03  -0.955384E-06   0.933463E-07
   128   0.352884E+04  -0.395927E+02   0.276622E-03  -0.395927E+02   0.108317E+01  -0.966976E-06   0.276622E-03  -0.966976E-06   0.927968E-07
   129   0.356246E+04  -0.400456E+02   0.273874E-03  -0.400456E+02   0.108830E+01  -0.977572E-06   0.273874E-03  -0.977572E-06   0.922514E-07
   130   0.359608E+04  -0.404830E+02   0.271169E-03  -0.404830E+02   0.109290E+01  -0.986940E-06   0.271169E-03  -0.986940E-06   0.917101E-07
